X,Y,yaw,velocity,readable
9.565,0.6,0.0,0.3,True
9.526,0.603,0.0,0.3,False
9.487,0.605,0.0,0.301,False
9.448,0.608,0.0,0.302,False
9.408,0.611,0.0,0.304,False
9.369,0.613,0.0,0.307,False
9.33,0.616,0.0,0.31,False
9.291,0.619,0.0,0.313,False
9.252,0.621,0.0,0.317,False
9.212,0.624,0.0,0.321,False
9.173,0.627,0.0,0.325,False
9.134,0.629,0.0,0.33,False
9.095,0.632,0.0,0.335,False
9.056,0.635,0.0,0.34,False
9.017,0.637,0.0,0.345,False
8.978,0.64,0.0,0.35,False
8.938,0.643,0.0,0.355,False
8.899,0.645,0.0,0.36,False
8.86,0.648,0.0,0.365,False
8.821,0.651,0.0,0.37,False
8.782,0.653,0.0,0.375,False
8.743,0.656,0.0,0.379,False
8.703,0.659,0.0,0.383,False
8.664,0.661,0.0,0.387,False
8.625,0.664,0.0,0.39,False
8.586,0.667,0.0,0.393,False
8.547,0.669,0.0,0.396,False
8.508,0.672,0.0,0.398,False
8.468,0.675,0.0,0.399,False
8.429,0.677,0.0,0.4,False
8.39,0.68,0.0,0.4,True
8.32,0.694,6.276,0.401,False
8.249,0.708,6.268,0.402,False
8.179,0.722,6.26,0.405,False
8.109,0.736,6.253,0.409,False
8.038,0.75,6.246,0.413,False
7.968,0.764,6.238,0.419,False
7.898,0.778,6.23,0.426,False
7.827,0.792,6.223,0.433,False
7.757,0.806,6.215,0.441,False
7.687,0.82,6.208,0.45,False
7.616,0.834,6.201,0.459,False
7.546,0.848,6.193,0.469,False
7.476,0.862,6.185,0.479,False
7.405,0.876,6.178,0.49,False
7.335,0.89,6.17,0.5,False
7.265,0.904,6.163,0.51,False
7.194,0.918,6.155,0.521,False
7.124,0.932,6.148,0.531,False
7.054,0.946,6.141,0.541,False
6.983,0.96,6.133,0.55,False
6.913,0.974,6.125,0.559,False
6.843,0.988,6.118,0.567,False
6.772,1.002,6.11,0.574,False
6.702,1.016,6.103,0.581,False
6.632,1.03,6.095,0.587,False
6.561,1.044,6.088,0.591,False
6.491,1.058,6.08,0.595,False
6.421,1.072,6.073,0.598,False
6.35,1.086,6.066,0.599,False
6.28,1.1,6.058,0.6,True
6.167,1.118,6.05,0.599,False
6.055,1.137,6.043,0.597,False
5.942,1.155,6.036,0.593,False
5.829,1.173,6.028,0.587,False
5.717,1.192,6.02,0.58,False
5.604,1.21,6.013,0.571,False
5.491,1.228,6.005,0.561,False
5.379,1.247,5.998,0.55,False
5.266,1.265,5.991,0.538,False
5.153,1.283,5.983,0.525,False
5.041,1.302,5.976,0.511,False
4.928,1.32,5.968,0.496,False
4.815,1.338,5.96,0.481,False
4.703,1.357,5.953,0.466,False
4.59,1.375,5.945,0.45,False
4.477,1.393,5.938,0.434,False
4.365,1.412,5.93,0.419,False
4.252,1.43,5.923,0.404,False
4.139,1.448,5.916,0.389,False
4.027,1.467,5.908,0.375,False
3.914,1.485,5.9,0.362,False
3.801,1.503,5.893,0.35,False
3.689,1.522,5.885,0.339,False
3.576,1.54,5.878,0.329,False
3.463,1.558,5.871,0.32,False
3.351,1.577,5.863,0.313,False
3.238,1.595,5.856,0.307,False
3.125,1.613,5.848,0.303,False
3.013,1.632,5.84,0.301,False
2.9,1.65,5.833,0.3,True
2.862,1.657,5.831,0.299,False
2.824,1.665,5.828,0.297,False
2.786,1.672,5.826,0.293,False
2.749,1.679,5.823,0.288,False
2.711,1.687,5.821,0.281,False
2.673,1.694,5.818,0.273,False
2.635,1.701,5.816,0.264,False
2.597,1.709,5.813,0.254,False
2.56,1.716,5.811,0.242,False
2.522,1.723,5.808,0.23,False
2.484,1.731,5.806,0.217,False
2.446,1.738,5.804,0.203,False
2.408,1.745,5.801,0.189,False
2.37,1.753,5.799,0.175,False
2.333,1.76,5.796,0.16,False
2.295,1.767,5.794,0.145,False
2.257,1.775,5.791,0.131,False
2.219,1.782,5.789,0.117,False
2.181,1.789,5.786,0.103,False
2.143,1.797,5.784,0.09,False
2.106,1.804,5.781,0.078,False
2.068,1.811,5.779,0.066,False
2.03,1.819,5.777,0.056,False
1.992,1.826,5.774,0.047,False
1.954,1.833,5.772,0.039,False
1.916,1.841,5.769,0.032,False
1.879,1.848,5.767,0.027,False
1.841,1.855,5.764,0.023,False
1.803,1.863,5.762,0.021,False
1.765,1.87,5.759,0.02,True
