X,Y,yaw,velocity,readable
1.765,1.95,5.759,0.3,True
1.765,1.932,5.769,0.3,False
1.765,1.913,5.779,0.3,False
1.765,1.895,5.789,0.3,False
1.765,1.877,5.799,0.3,False
1.765,1.858,5.809,0.3,False
1.765,1.84,5.819,0.3,False
1.765,1.822,5.829,0.3,False
1.765,1.803,5.839,0.3,False
1.765,1.785,5.849,0.3,False
1.765,1.767,5.859,0.3,False
1.765,1.748,5.869,0.3,False
1.765,1.73,5.879,0.3,False
1.765,1.712,5.889,0.3,False
1.765,1.693,5.899,0.3,False
1.765,1.675,5.909,0.3,False
1.765,1.657,5.918,0.3,False
1.765,1.638,5.928,0.3,False
1.765,1.62,5.938,0.3,False
1.765,1.602,5.948,0.3,False
1.765,1.583,5.958,0.3,False
1.765,1.565,5.968,0.3,False
1.765,1.547,5.978,0.3,False
1.765,1.528,5.988,0.3,False
1.765,1.51,5.998,0.3,False
1.765,1.492,6.008,0.3,False
1.765,1.473,6.018,0.3,False
1.765,1.455,6.028,0.3,False
1.765,1.437,6.038,0.3,False
1.765,1.418,6.048,0.3,False
1.765,1.4,6.058,0.3,True
1.765,1.37,6.066,0.3,False
1.765,1.34,6.073,0.3,False
1.765,1.31,6.08,0.3,False
1.765,1.28,6.088,0.3,False
1.765,1.25,6.095,0.3,False
1.765,1.22,6.103,0.3,False
1.765,1.19,6.111,0.3,False
1.765,1.16,6.118,0.3,False
1.765,1.13,6.125,0.3,False
1.765,1.1,6.133,0.3,False
1.765,1.07,6.14,0.3,False
1.765,1.04,6.148,0.3,False
1.765,1.01,6.155,0.3,False
1.765,0.98,6.163,0.3,False
1.765,0.95,6.17,0.3,False
1.765,0.92,6.178,0.3,False
1.765,0.89,6.185,0.3,False
1.765,0.86,6.193,0.3,False
1.765,0.83,6.2,0.3,False
1.765,0.8,6.208,0.3,False
1.765,0.77,6.215,0.3,False
1.765,0.74,6.223,0.3,False
1.765,0.71,6.231,0.3,False
1.765,0.68,6.238,0.3,False
1.765,0.65,6.245,0.3,False
1.765,0.62,6.253,0.3,False
1.765,0.59,6.261,0.3,False
1.765,0.56,6.268,0.3,False
1.765,0.53,6.275,0.3,False
1.765,0.5,0.0,0.3,True
1.878,0.5,0.0,0.301,False
1.991,0.5,0.0,0.303,False
2.104,0.5,0.0,0.307,False
2.216,0.5,0.0,0.313,False
