X,Y,yaw,velocity,readable
1.765,1.8,5.759,0.2,True
1.853,1.8,5.769,0.201,False
1.941,1.8,5.779,0.204,False
2.029,1.8,5.789,0.21,False
2.116,1.8,5.799,0.217,False
2.204,1.8,5.809,0.227,False
2.292,1.8,5.819,0.238,False
2.38,1.8,5.829,0.251,False
2.468,1.8,5.839,0.266,False
2.555,1.8,5.849,0.282,False
2.643,1.8,5.859,0.3,False
2.731,1.8,5.869,0.319,False
2.819,1.8,5.879,0.338,False
2.907,1.8,5.889,0.358,False
2.995,1.8,5.899,0.379,False
3.083,1.8,5.909,0.4,False
3.17,1.8,5.918,0.421,False
3.258,1.8,5.928,0.442,False
3.346,1.8,5.938,0.462,False
3.434,1.8,5.948,0.481,False
3.522,1.8,5.958,0.5,False
3.61,1.8,5.968,0.518,False
3.697,1.8,5.978,0.534,False
3.785,1.8,5.988,0.549,False
3.873,1.8,5.998,0.562,False
3.961,1.8,6.008,0.573,False
4.049,1.8,6.018,0.583,False
4.136,1.8,6.028,0.59,False
4.224,1.8,6.038,0.596,False
4.312,1.8,6.048,0.599,False
4.4,1.8,6.058,0.6,True
4.533,1.8,6.066,0.599,False
4.667,1.8,6.073,0.597,False
4.8,1.8,6.08,0.593,False
4.933,1.8,6.088,0.587,False
5.067,1.8,6.095,0.58,False
5.2,1.8,6.103,0.571,False
5.333,1.8,6.111,0.561,False
5.467,1.8,6.118,0.55,False
5.6,1.8,6.125,0.538,False
5.733,1.8,6.133,0.525,False
5.867,1.8,6.14,0.511,False
6.0,1.8,6.148,0.496,False
6.133,1.8,6.155,0.481,False
6.267,1.8,6.163,0.466,False
6.4,1.8,6.17,0.45,False
6.533,1.8,6.178,0.434,False
6.667,1.8,6.185,0.419,False
6.8,1.8,6.193,0.404,False
6.933,1.8,6.2,0.389,False
7.067,1.8,6.208,0.375,False
7.2,1.8,6.215,0.362,False
7.333,1.8,6.223,0.35,False
7.467,1.8,6.231,0.339,False
7.6,1.8,6.238,0.329,False
7.733,1.8,6.245,0.32,False
7.867,1.8,6.253,0.313,False
8.0,1.8,6.261,0.307,False
8.133,1.8,6.268,0.303,False
8.267,1.8,6.275,0.301,False
8.4,1.8,0.0,0.3,True
8.4,1.78,0.0,0.3,False
8.4,1.76,0.0,0.301,False
8.4,1.74,0.0,0.302,False
8.4,1.72,0.0,0.304,False
8.4,1.7,0.0,0.307,False
8.4,1.68,0.0,0.31,False
8.4,1.66,0.0,0.313,False
8.4,1.64,0.0,0.317,False
8.4,1.62,0.0,0.321,False
8.4,1.6,0.0,0.325,False
