X,Y,yaw,velocity,readable
3.01,1.57,5.943,0.3,True
3.113,1.549,5.949,0.301,False
3.215,1.529,5.954,0.303,False
3.318,1.508,5.96,0.307,False
3.421,1.487,5.965,0.313,False
3.523,1.467,5.971,0.32,False
3.626,1.446,5.976,0.329,False
3.729,1.425,5.982,0.339,False
3.831,1.405,5.987,0.35,False
3.934,1.384,5.993,0.362,False
4.037,1.363,5.998,0.375,False
4.139,1.343,6.004,0.389,False
4.242,1.322,6.009,0.404,False
4.345,1.301,6.015,0.419,False
4.447,1.281,6.02,0.434,False
4.55,1.26,6.026,0.45,False
4.653,1.239,6.032,0.466,False
4.755,1.219,6.037,0.481,False
4.858,1.198,6.043,0.496,False
4.961,1.177,6.048,0.511,False
5.063,1.157,6.054,0.525,False
5.166,1.136,6.059,0.538,False
5.269,1.115,6.065,0.55,False
5.371,1.095,6.07,0.561,False
5.474,1.074,6.076,0.571,False
5.577,1.053,6.081,0.58,False
5.679,1.033,6.087,0.587,False
5.782,1.012,6.092,0.593,False
5.885,0.991,6.098,0.597,False
5.987,0.971,6.103,0.599,False
6.09,0.95,6.109,0.6,True
6.169,0.935,6.115,0.599,False
6.248,0.92,6.121,0.598,False
6.327,0.905,6.126,0.595,False
6.406,0.89,6.132,0.591,False
6.485,0.875,6.138,0.587,False
6.564,0.86,6.144,0.581,False
6.643,0.845,6.15,0.574,False
6.722,0.83,6.155,0.567,False
6.801,0.815,6.161,0.559,False
6.88,0.8,6.167,0.55,False
6.959,0.785,6.173,0.541,False
7.038,0.77,6.179,0.531,False
7.117,0.755,6.184,0.521,False
7.196,0.74,6.19,0.51,False
7.275,0.725,6.196,0.5,False
7.354,0.71,6.202,0.49,False
7.433,0.695,6.208,0.479,False
7.512,0.68,6.213,0.469,False
7.591,0.665,6.219,0.459,False
7.67,0.65,6.225,0.45,False
7.749,0.635,6.231,0.441,False
7.828,0.62,6.237,0.433,False
7.907,0.605,6.242,0.426,False
7.986,0.59,6.248,0.419,False
8.065,0.575,6.254,0.413,False
8.144,0.56,6.26,0.409,False
8.223,0.545,6.266,0.405,False
8.302,0.53,6.271,0.402,False
8.381,0.515,6.277,0.401,False
8.46,0.5,0.0,0.4,True
8.486,0.5,0.0,0.4,False
8.513,0.5,0.0,0.399,False
8.539,0.5,0.0,0.398,False
8.565,0.5,0.0,0.396,False
8.592,0.5,0.0,0.393,False
8.618,0.5,0.0,0.39,False
8.644,0.5,0.0,0.387,False
8.671,0.5,0.0,0.383,False
8.697,0.5,0.0,0.379,False
8.723,0.5,0.0,0.375,False
8.75,0.5,0.0,0.37,False
8.776,0.5,0.0,0.365,False
8.802,0.5,0.0,0.36,False
8.829,0.5,0.0,0.355,False
8.855,0.5,0.0,0.35,False
8.881,0.5,0.0,0.345,False
8.908,0.5,0.0,0.34,False
8.934,0.5,0.0,0.335,False
8.96,0.5,0.0,0.33,False
8.987,0.5,0.0,0.325,False
9.013,0.5,0.0,0.321,False
9.039,0.5,0.0,0.317,False
9.066,0.5,0.0,0.313,False
9.092,0.5,0.0,0.31,False
9.118,0.5,0.0,0.307,False
9.145,0.5,0.0,0.304,False
9.171,0.5,0.0,0.302,False
9.197,0.5,0.0,0.301,False
9.224,0.5,0.0,0.3,False
9.25,0.5,0.0,0.3,True
9.273,0.5,0.0,0.299,False
9.297,0.5,0.0,0.297,False
9.32,0.5,0.0,0.293,False
9.343,0.5,0.0,0.288,False
9.367,0.5,0.0,0.281,False
9.39,0.5,0.0,0.273,False
9.413,0.5,0.0,0.264,False
9.437,0.5,0.0,0.254,False
9.46,0.5,0.0,0.242,False
9.483,0.5,0.0,0.23,False
9.507,0.5,0.0,0.217,False
9.53,0.5,0.0,0.203,False
9.553,0.5,0.0,0.189,False
9.577,0.5,0.0,0.175,False
9.6,0.5,0.0,0.16,False
9.623,0.5,0.0,0.145,False
9.647,0.5,0.0,0.131,False
9.67,0.5,0.0,0.117,False
9.693,0.5,0.0,0.103,False
9.717,0.5,0.0,0.09,False
9.74,0.5,0.0,0.078,False
9.763,0.5,0.0,0.066,False
9.787,0.5,0.0,0.056,False
9.81,0.5,0.0,0.047,False
9.833,0.5,0.0,0.039,False
9.857,0.5,0.0,0.032,False
9.88,0.5,0.0,0.027,False
9.903,0.5,0.0,0.023,False
9.927,0.5,0.0,0.021,False
9.95,0.5,0.0,0.02,True
