X,Y,yaw,velocity,readable
9.565,0.5,0.0,0.3,True
9.526,0.5,0.0,0.3,False
9.487,0.5,0.0,0.301,False
9.448,0.5,0.0,0.302,False
9.41,0.5,0.0,0.304,False
9.371,0.5,0.0,0.307,False
9.332,0.5,0.0,0.31,False
9.293,0.5,0.0,0.313,False
9.254,0.5,0.0,0.317,False
9.216,0.5,0.0,0.321,False
9.177,0.5,0.0,0.325,False
9.138,0.5,0.0,0.33,False
9.099,0.5,0.0,0.335,False
9.06,0.5,0.0,0.34,False
9.021,0.5,0.0,0.345,False
8.983,0.5,0.0,0.35,False
8.944,0.5,0.0,0.355,False
8.905,0.5,0.0,0.36,False
8.866,0.5,0.0,0.365,False
8.827,0.5,0.0,0.37,False
8.788,0.5,0.0,0.375,False
8.749,0.5,0.0,0.379,False
8.711,0.5,0.0,0.383,False
8.672,0.5,0.0,0.387,False
8.633,0.5,0.0,0.39,False
8.594,0.5,0.0,0.393,False
8.555,0.5,0.0,0.396,False
8.517,0.5,0.0,0.398,False
8.478,0.5,0.0,0.399,False
8.439,0.5,0.0,0.4,False
8.4,0.5,0.0,0.4,True
8.333,0.5,0.0,0.4,False
8.267,0.5,0.0,0.401,False
8.2,0.5,0.0,0.402,False
8.133,0.5,0.0,0.404,False
8.067,0.5,0.0,0.407,False
8.0,0.5,0.0,0.41,False
7.933,0.5,0.0,0.413,False
7.867,0.5,0.0,0.417,False
7.8,0.5,0.0,0.421,False
7.733,0.5,0.0,0.425,False
7.667,0.5,0.0,0.43,False
7.6,0.5,0.0,0.435,False
7.533,0.5,0.0,0.44,False
7.467,0.5,0.0,0.445,False
7.4,0.5,0.0,0.45,False
7.333,0.5,0.0,0.455,False
7.267,0.5,0.0,0.46,False
7.2,0.5,0.0,0.465,False
7.133,0.5,0.0,0.47,False
7.067,0.5,0.0,0.475,False
7.0,0.5,0.0,0.479,False
6.933,0.5,0.0,0.483,False
6.867,0.5,0.0,0.487,False
6.8,0.5,0.0,0.49,False
6.733,0.5,0.0,0.493,False
6.667,0.5,0.0,0.496,False
6.6,0.5,0.0,0.498,False
6.533,0.5,0.0,0.499,False
6.467,0.5,0.0,0.5,False
6.4,0.5,0.0,0.5,True
6.36,0.5,0.0,0.499,False
6.32,0.5,0.0,0.497,False
6.28,0.5,0.0,0.493,False
6.24,0.5,0.0,0.487,False
6.2,0.5,0.0,0.48,False
6.16,0.5,0.0,0.471,False
6.12,0.5,0.0,0.461,False
6.08,0.5,0.0,0.45,False
6.04,0.5,0.0,0.438,False
6.0,0.5,0.0,0.425,False
5.96,0.5,0.0,0.411,False
5.92,0.5,0.0,0.396,False
5.88,0.5,0.0,0.381,False
5.84,0.5,0.0,0.366,False
5.8,0.5,0.0,0.35,False
5.76,0.5,0.0,0.334,False
5.72,0.5,0.0,0.319,False
5.68,0.5,0.0,0.304,False
5.64,0.5,0.0,0.289,False
5.6,0.5,0.0,0.275,False
5.56,0.5,0.0,0.262,False
5.52,0.5,0.0,0.25,False
5.48,0.5,0.0,0.239,False
5.44,0.5,0.0,0.229,False
5.4,0.5,0.0,0.22,False
5.36,0.5,0.0,0.213,False
5.32,0.5,0.0,0.207,False
5.28,0.5,0.0,0.203,False
5.24,0.5,0.0,0.201,False
5.2,0.5,0.0,0.2,True
5.2,0.523,0.0,0.2,False
5.2,0.547,0.0,0.201,False
5.2,0.57,0.0,0.202,False
5.2,0.593,0.0,0.204,False
5.2,0.617,0.0,0.207,False
5.2,0.64,0.0,0.21,False
5.2,0.663,0.0,0.213,False
5.2,0.687,0.0,0.217,False
5.2,0.71,0.0,0.221,False
5.2,0.733,0.0,0.225,False
5.2,0.757,0.0,0.23,False
5.2,0.78,0.0,0.235,False
5.2,0.803,0.0,0.24,False
5.2,0.827,0.0,0.245,False
5.2,0.85,0.0,0.25,False
5.2,0.873,0.0,0.255,False
5.2,0.897,0.0,0.26,False
5.2,0.92,0.0,0.265,False
5.2,0.943,0.0,0.27,False
5.2,0.967,0.0,0.275,False
5.2,0.99,0.0,0.279,False
5.2,1.013,0.0,0.283,False
5.2,1.037,0.0,0.287,False
5.2,1.06,0.0,0.29,False
5.2,1.083,0.0,0.293,False
5.2,1.107,0.0,0.296,False
5.2,1.13,0.0,0.298,False
5.2,1.153,0.0,0.299,False
5.2,1.177,0.0,0.3,False
5.2,1.2,0.0,0.3,True
5.2,1.212,0.0,0.299,False
5.2,1.225,0.0,0.297,False
5.2,1.237,0.0,0.293,False
5.2,1.249,0.0,0.288,False
5.2,1.262,0.0,0.281,False
5.2,1.274,0.0,0.273,False
5.2,1.286,0.0,0.264,False
5.2,1.299,0.0,0.254,False
5.2,1.311,0.0,0.242,False
5.2,1.323,0.0,0.23,False
5.2,1.336,0.0,0.217,False
5.2,1.348,0.0,0.203,False
5.2,1.36,0.0,0.189,False
5.2,1.373,0.0,0.175,False
5.2,1.385,0.0,0.16,False
5.2,1.397,0.0,0.145,False
5.2,1.41,0.0,0.131,False
5.2,1.422,0.0,0.117,False
5.2,1.434,0.0,0.103,False
5.2,1.447,0.0,0.09,False
5.2,1.459,0.0,0.078,False
5.2,1.471,0.0,0.066,False
5.2,1.484,0.0,0.056,False
5.2,1.496,0.0,0.047,False
5.2,1.508,0.0,0.039,False
5.2,1.521,0.0,0.032,False
5.2,1.533,0.0,0.027,False
5.2,1.545,0.0,0.023,False
5.2,1.558,0.0,0.021,False
5.2,1.57,0.0,0.02,True
