X,Y,yaw,velocity,readable
9.565,0.6,0.0,0.2,True
9.526,0.603,0.0,0.2,False
9.487,0.605,0.0,0.201,False
9.448,0.608,0.0,0.202,False
9.408,0.611,0.0,0.204,False
9.369,0.613,0.0,0.207,False
9.33,0.616,0.0,0.21,False
9.291,0.619,0.0,0.213,False
9.252,0.621,0.0,0.217,False
9.212,0.624,0.0,0.221,False
9.173,0.627,0.0,0.225,False
9.134,0.629,0.0,0.23,False
9.095,0.632,0.0,0.235,False
9.056,0.635,0.0,0.24,False
9.017,0.637,0.0,0.245,False
8.978,0.64,0.0,0.25,False
8.938,0.643,0.0,0.255,False
8.899,0.645,0.0,0.26,False
8.86,0.648,0.0,0.265,False
8.821,0.651,0.0,0.27,False
8.782,0.653,0.0,0.275,False
8.743,0.656,0.0,0.279,False
8.703,0.659,0.0,0.283,False
8.664,0.661,0.0,0.287,False
8.625,0.664,0.0,0.29,False
8.586,0.667,0.0,0.293,False
8.547,0.669,0.0,0.296,False
8.508,0.672,0.0,0.298,False
8.468,0.675,0.0,0.299,False
8.429,0.677,0.0,0.3,False
8.39,0.68,0.0,0.3,True
8.322,0.699,0.0,0.301,False
8.254,0.719,0.0,0.302,False
8.186,0.738,0.0,0.305,False
8.118,0.757,0.0,0.309,False
8.05,0.777,0.0,0.313,False
7.982,0.796,0.0,0.319,False
7.914,0.815,0.0,0.326,False
7.846,0.835,0.0,0.333,False
7.778,0.854,0.0,0.341,False
7.71,0.873,0.0,0.35,False
7.642,0.893,0.0,0.359,False
7.574,0.912,0.0,0.369,False
7.506,0.931,0.0,0.379,False
7.438,0.951,0.0,0.39,False
7.37,0.97,0.0,0.4,False
7.302,0.989,0.0,0.41,False
7.234,1.009,0.0,0.421,False
7.166,1.028,0.0,0.431,False
7.098,1.047,0.0,0.441,False
7.03,1.067,0.0,0.45,False
6.962,1.086,0.0,0.459,False
6.894,1.105,0.0,0.467,False
6.826,1.125,0.0,0.474,False
6.758,1.144,0.0,0.481,False
6.69,1.163,0.0,0.487,False
6.622,1.183,0.0,0.491,False
6.554,1.202,0.0,0.495,False
6.486,1.221,0.0,0.498,False
6.418,1.241,0.0,0.499,False
6.35,1.26,0.0,0.5,True
6.27,1.285,0.0,0.499,False
6.19,1.311,0.0,0.495,False
6.11,1.336,0.0,0.488,False
6.03,1.361,0.0,0.479,False
5.95,1.387,0.0,0.468,False
5.87,1.412,0.0,0.454,False
5.79,1.437,0.0,0.438,False
5.71,1.463,0.0,0.421,False
5.63,1.488,0.0,0.401,False
5.55,1.513,0.0,0.38,False
5.47,1.539,0.0,0.358,False
5.39,1.564,0.0,0.334,False
5.31,1.589,0.0,0.31,False
5.23,1.615,0.0,0.285,False
5.15,1.64,0.0,0.26,False
5.07,1.665,0.0,0.235,False
4.99,1.691,0.0,0.21,False
4.91,1.716,0.0,0.186,False
4.83,1.741,0.0,0.162,False
4.75,1.767,0.0,0.14,False
4.67,1.792,0.0,0.119,False
4.59,1.817,0.0,0.099,False
4.51,1.843,0.0,0.082,False
4.43,1.868,0.0,0.066,False
4.35,1.893,0.0,0.052,False
4.27,1.919,0.0,0.041,False
4.19,1.944,0.0,0.032,False
4.11,1.969,0.0,0.025,False
4.03,1.995,0.0,0.021,False
3.95,2.02,0.0,0.02,True
