X,Y,yaw,velocity,readable
9.565,0.6,0.0,0.2,True
9.526,0.6,0.0,0.2,False
9.487,0.6,0.0,0.201,False
9.448,0.6,0.0,0.202,False
9.41,0.6,0.0,0.204,False
9.371,0.6,0.0,0.207,False
9.332,0.6,0.0,0.21,False
9.293,0.6,0.0,0.213,False
9.254,0.6,0.0,0.217,False
9.216,0.6,0.0,0.221,False
9.177,0.6,0.0,0.225,False
9.138,0.6,0.0,0.23,False
9.099,0.6,0.0,0.235,False
9.06,0.6,0.0,0.24,False
9.021,0.6,0.0,0.245,False
8.983,0.6,0.0,0.25,False
8.944,0.6,0.0,0.255,False
8.905,0.6,0.0,0.26,False
8.866,0.6,0.0,0.265,False
8.827,0.6,0.0,0.27,False
8.788,0.6,0.0,0.275,False
8.749,0.6,0.0,0.279,False
8.711,0.6,0.0,0.283,False
8.672,0.6,0.0,0.287,False
8.633,0.6,0.0,0.29,False
8.594,0.6,0.0,0.293,False
8.555,0.6,0.0,0.296,False
8.517,0.6,0.0,0.298,False
8.478,0.6,0.0,0.299,False
8.439,0.6,0.0,0.3,False
8.4,0.6,0.0,0.3,True
8.333,0.6,0.0,0.301,False
8.267,0.6,0.0,0.303,False
8.2,0.6,0.0,0.307,False
8.133,0.6,0.0,0.313,False
8.067,0.6,0.0,0.32,False
8.0,0.6,0.0,0.329,False
7.933,0.6,0.0,0.339,False
7.867,0.6,0.0,0.35,False
7.8,0.6,0.0,0.362,False
7.733,0.6,0.0,0.375,False
7.667,0.6,0.0,0.389,False
7.6,0.6,0.0,0.404,False
7.533,0.6,0.0,0.419,False
7.467,0.6,0.0,0.434,False
7.4,0.6,0.0,0.45,False
7.333,0.6,0.0,0.466,False
7.267,0.6,0.0,0.481,False
7.2,0.6,0.0,0.496,False
7.133,0.6,0.0,0.511,False
7.067,0.6,0.0,0.525,False
7.0,0.6,0.0,0.538,False
6.933,0.6,0.0,0.55,False
6.867,0.6,0.0,0.561,False
6.8,0.6,0.0,0.571,False
6.733,0.6,0.0,0.58,False
6.667,0.6,0.0,0.587,False
6.6,0.6,0.0,0.593,False
6.533,0.6,0.0,0.597,False
6.467,0.6,0.0,0.599,False
6.4,0.6,0.0,0.6,True
6.318,0.6,0.0,0.599,False
6.237,0.6,0.0,0.596,False
6.155,0.6,0.0,0.59,False
6.073,0.6,0.0,0.583,False
5.992,0.6,0.0,0.573,False
5.91,0.6,0.0,0.562,False
5.828,0.6,0.0,0.549,False
5.747,0.6,0.0,0.534,False
5.665,0.6,0.0,0.518,False
5.583,0.6,0.0,0.5,False
5.502,0.6,0.0,0.481,False
5.42,0.6,0.0,0.462,False
5.338,0.6,0.0,0.442,False
5.257,0.6,0.0,0.421,False
5.175,0.6,0.0,0.4,False
5.093,0.6,0.0,0.379,False
5.012,0.6,0.0,0.358,False
4.93,0.6,0.0,0.338,False
4.848,0.6,0.0,0.319,False
4.767,0.6,0.0,0.3,False
4.685,0.6,0.0,0.282,False
4.603,0.6,0.0,0.266,False
4.522,0.6,0.0,0.251,False
4.44,0.6,0.0,0.238,False
4.358,0.6,0.0,0.227,False
4.277,0.6,0.0,0.217,False
4.195,0.6,0.0,0.21,False
4.113,0.6,0.0,0.204,False
4.032,0.6,0.0,0.201,False
3.95,0.6,0.0,0.2,True
3.95,0.62,0.0,0.2,False
3.95,0.64,0.0,0.199,False
3.95,0.66,0.0,0.198,False
3.95,0.68,0.0,0.196,False
3.95,0.7,0.0,0.193,False
3.95,0.72,0.0,0.19,False
3.95,0.74,0.0,0.187,False
3.95,0.76,0.0,0.183,False
3.95,0.78,0.0,0.179,False
3.95,0.8,0.0,0.175,False
3.95,0.82,0.0,0.17,False
3.95,0.84,0.0,0.165,False
3.95,0.86,0.0,0.16,False
3.95,0.88,0.0,0.155,False
3.95,0.9,0.0,0.15,False
3.95,0.92,0.0,0.145,False
3.95,0.94,0.0,0.14,False
3.95,0.96,0.0,0.135,False
3.95,0.98,0.0,0.13,False
3.95,1.0,0.0,0.125,False
3.95,1.02,0.0,0.121,False
3.95,1.04,0.0,0.117,False
3.95,1.06,0.0,0.113,False
3.95,1.08,0.0,0.11,False
3.95,1.1,0.0,0.107,False
3.95,1.12,0.0,0.104,False
3.95,1.14,0.0,0.102,False
3.95,1.16,0.0,0.101,False
3.95,1.18,0.0,0.1,False
3.95,1.2,0.0,0.1,True
3.95,1.227,0.0,0.1,False
3.95,1.255,0.0,0.099,False
3.95,1.282,0.0,0.098,False
3.95,1.309,0.0,0.097,False
3.95,1.337,0.0,0.095,False
3.95,1.364,0.0,0.092,False
3.95,1.391,0.0,0.09,False
3.95,1.419,0.0,0.087,False
3.95,1.446,0.0,0.084,False
3.95,1.473,0.0,0.08,False
3.95,1.501,0.0,0.076,False
3.95,1.528,0.0,0.072,False
3.95,1.555,0.0,0.068,False
3.95,1.583,0.0,0.064,False
3.95,1.61,0.0,0.06,False
3.95,1.637,0.0,0.056,False
3.95,1.665,0.0,0.052,False
3.95,1.692,0.0,0.048,False
3.95,1.719,0.0,0.044,False
3.95,1.747,0.0,0.04,False
3.95,1.774,0.0,0.036,False
3.95,1.801,0.0,0.033,False
3.95,1.829,0.0,0.03,False
3.95,1.856,0.0,0.028,False
3.95,1.883,0.0,0.025,False
3.95,1.911,0.0,0.023,False
3.95,1.938,0.0,0.022,False
3.95,1.965,0.0,0.021,False
3.95,1.993,0.0,0.02,False
3.95,2.02,0.0,0.02,True
