X,Y,yaw,velocity,readable
9.565,0.6,0.0,0.2,True
9.52,0.6,0.0,0.2,False
9.474,0.6,0.0,0.2,False
9.428,0.6,0.0,0.2,False
9.383,0.6,0.0,0.2,False
9.338,0.6,0.0,0.2,False
9.292,0.6,0.0,0.2,False
9.247,0.6,0.0,0.2,False
9.201,0.6,0.0,0.2,False
9.156,0.6,0.0,0.2,False
9.11,0.6,0.0,0.2,False
9.064,0.6,0.0,0.2,False
9.019,0.6,0.0,0.2,False
8.973,0.6,0.0,0.2,False
8.928,0.6,0.0,0.2,False
8.882,0.6,0.0,0.2,False
8.837,0.6,0.0,0.2,False
8.791,0.6,0.0,0.2,False
8.746,0.6,0.0,0.2,False
8.7,0.6,0.0,0.2,False
8.655,0.6,0.0,0.2,False
8.609,0.6,0.0,0.2,False
8.564,0.6,0.0,0.2,False
8.518,0.6,0.0,0.2,False
8.473,0.6,0.0,0.2,False
8.427,0.6,0.0,0.2,False
8.382,0.6,0.0,0.2,False
8.336,0.6,0.0,0.2,False
8.291,0.6,0.0,0.2,False
8.245,0.6,0.0,0.2,False
8.2,0.6,0.0,0.2,True
8.2,0.62,0.0,0.2,False
8.2,0.64,0.0,0.2,False
8.2,0.66,0.0,0.2,False
8.2,0.68,0.0,0.2,False
8.2,0.7,0.0,0.2,False
8.2,0.72,0.0,0.2,False
8.2,0.74,0.0,0.2,False
8.2,0.76,0.0,0.2,False
8.2,0.78,0.0,0.2,False
8.2,0.8,0.0,0.2,False
8.2,0.82,0.0,0.2,False
8.2,0.84,0.0,0.2,False
8.2,0.86,0.0,0.2,False
8.2,0.88,0.0,0.2,False
8.2,0.9,0.0,0.2,False
8.2,0.92,0.0,0.2,False
8.2,0.94,0.0,0.2,False
8.2,0.96,0.0,0.2,False
8.2,0.98,0.0,0.2,False
8.2,1.0,0.0,0.2,False
8.2,1.02,0.0,0.2,False
8.2,1.04,0.0,0.2,False
8.2,1.06,0.0,0.2,False
8.2,1.08,0.0,0.2,False
8.2,1.1,0.0,0.2,False
8.2,1.12,0.0,0.2,False
8.2,1.14,0.0,0.2,False
8.2,1.16,0.0,0.2,False
8.2,1.18,0.0,0.2,False
8.2,1.2,0.0,0.2,True
8.2,1.227,0.0,0.201,False
8.2,1.255,0.0,0.202,False
8.2,1.282,0.0,0.205,False
8.2,1.309,0.0,0.209,False
8.2,1.337,0.0,0.213,False
8.2,1.364,0.0,0.219,False
8.2,1.391,0.0,0.226,False
8.2,1.419,0.0,0.233,False
8.2,1.446,0.0,0.241,False
8.2,1.473,0.0,0.25,False
8.2,1.501,0.0,0.259,False
8.2,1.528,0.0,0.269,False
8.2,1.555,0.0,0.279,False
8.2,1.583,0.0,0.29,False
8.2,1.61,0.0,0.3,False
8.2,1.637,0.0,0.31,False
8.2,1.665,0.0,0.321,False
8.2,1.692,0.0,0.331,False
8.2,1.719,0.0,0.341,False
8.2,1.747,0.0,0.35,False
8.2,1.774,0.0,0.359,False
8.2,1.801,0.0,0.367,False
8.2,1.829,0.0,0.374,False
8.2,1.856,0.0,0.381,False
8.2,1.883,0.0,0.387,False
8.2,1.911,0.0,0.391,False
8.2,1.938,0.0,0.395,False
8.2,1.965,0.0,0.398,False
8.2,1.993,0.0,0.399,False
8.2,2.02,0.0,0.4,True
8.14,2.02,0.0,0.399,False
8.08,2.02,0.0,0.398,False
8.02,2.02,0.0,0.395,False
7.96,2.02,0.0,0.391,False
7.9,2.02,0.0,0.387,False
7.84,2.02,0.0,0.381,False
7.78,2.02,0.0,0.374,False
7.72,2.02,0.0,0.367,False
7.66,2.02,0.0,0.359,False
7.6,2.02,0.0,0.35,False
7.54,2.02,0.0,0.341,False
7.48,2.02,0.0,0.331,False
7.42,2.02,0.0,0.321,False
7.36,2.02,0.0,0.31,False
7.3,2.02,0.0,0.3,False
7.24,2.02,0.0,0.29,False
7.18,2.02,0.0,0.279,False
7.12,2.02,0.0,0.269,False
7.06,2.02,0.0,0.259,False
7.0,2.02,0.0,0.25,False
6.94,2.02,0.0,0.241,False
6.88,2.02,0.0,0.233,False
6.82,2.02,0.0,0.226,False
6.76,2.02,0.0,0.219,False
6.7,2.02,0.0,0.213,False
6.64,2.02,0.0,0.209,False
6.58,2.02,0.0,0.205,False
6.52,2.02,0.0,0.202,False
6.46,2.02,0.0,0.201,False
6.4,2.02,0.0,0.2,True
6.318,2.02,0.0,0.2,False
6.237,2.02,0.0,0.198,False
6.155,2.02,0.0,0.196,False
6.073,2.02,0.0,0.192,False
5.992,2.02,0.0,0.188,False
5.91,2.02,0.0,0.183,False
5.828,2.02,0.0,0.177,False
5.747,2.02,0.0,0.17,False
5.665,2.02,0.0,0.163,False
5.583,2.02,0.0,0.155,False
5.502,2.02,0.0,0.147,False
5.42,2.02,0.0,0.138,False
5.338,2.02,0.0,0.129,False
5.257,2.02,0.0,0.119,False
5.175,2.02,0.0,0.11,False
5.093,2.02,0.0,0.101,False
5.012,2.02,0.0,0.091,False
4.93,2.02,0.0,0.082,False
4.848,2.02,0.0,0.073,False
4.767,2.02,0.0,0.065,False
4.685,2.02,0.0,0.057,False
4.603,2.02,0.0,0.05,False
4.522,2.02,0.0,0.043,False
4.44,2.02,0.0,0.037,False
4.358,2.02,0.0,0.032,False
4.277,2.02,0.0,0.028,False
4.195,2.02,0.0,0.024,False
4.113,2.02,0.0,0.022,False
4.032,2.02,0.0,0.02,False
3.95,2.02,0.0,0.02,True
