X,Y,yaw,velocity,readable
5.2,2.02,0.0,0.2,True
5.251,1.993,0.0,0.201,False
5.301,1.967,0.0,0.203,False
5.352,1.94,0.0,0.207,False
5.403,1.913,0.0,0.213,False
5.453,1.887,0.0,0.22,False
5.504,1.86,0.0,0.229,False
5.555,1.833,0.0,0.239,False
5.605,1.807,0.0,0.25,False
5.656,1.78,0.0,0.262,False
5.707,1.753,0.0,0.275,False
5.757,1.727,0.0,0.289,False
5.808,1.7,0.0,0.304,False
5.859,1.673,0.0,0.319,False
5.909,1.647,0.0,0.334,False
5.96,1.62,0.0,0.35,False
6.011,1.593,0.0,0.366,False
6.061,1.567,0.0,0.381,False
6.112,1.54,0.0,0.396,False
6.163,1.513,0.0,0.411,False
6.213,1.487,0.0,0.425,False
6.264,1.46,0.0,0.438,False
6.315,1.433,0.0,0.45,False
6.365,1.407,0.0,0.461,False
6.416,1.38,0.0,0.471,False
6.467,1.353,0.0,0.48,False
6.517,1.327,0.0,0.487,False
6.568,1.3,0.0,0.493,False
6.619,1.273,0.0,0.497,False
6.669,1.247,0.0,0.499,False
6.72,1.22,0.0,0.5,True
6.778,1.199,0.0,0.499,False
6.836,1.179,0.0,0.497,False
6.894,1.158,0.0,0.493,False
6.952,1.137,0.0,0.487,False
7.01,1.117,0.0,0.48,False
7.068,1.096,0.0,0.471,False
7.126,1.075,0.0,0.461,False
7.184,1.055,0.0,0.45,False
7.242,1.034,0.0,0.438,False
7.3,1.013,0.0,0.425,False
7.358,0.993,0.0,0.411,False
7.416,0.972,0.0,0.396,False
7.474,0.951,0.0,0.381,False
7.532,0.931,0.0,0.366,False
7.59,0.91,0.0,0.35,False
7.648,0.889,0.0,0.334,False
7.706,0.869,0.0,0.319,False
7.764,0.848,0.0,0.304,False
7.822,0.827,0.0,0.289,False
7.88,0.807,0.0,0.275,False
7.938,0.786,0.0,0.262,False
7.996,0.765,0.0,0.25,False
8.054,0.745,0.0,0.239,False
8.112,0.724,0.0,0.229,False
8.17,0.703,0.0,0.22,False
8.228,0.683,0.0,0.213,False
8.286,0.662,0.0,0.207,False
8.344,0.641,0.0,0.203,False
8.402,0.621,0.0,0.201,False
8.46,0.6,0.0,0.2,True
8.505,0.6,0.0,0.2,False
8.549,0.6,0.0,0.198,False
8.594,0.6,0.0,0.196,False
8.639,0.6,0.0,0.192,False
8.683,0.6,0.0,0.188,False
8.728,0.6,0.0,0.183,False
8.773,0.6,0.0,0.177,False
8.817,0.6,0.0,0.17,False
8.862,0.6,0.0,0.163,False
8.907,0.6,0.0,0.155,False
8.951,0.6,0.0,0.147,False
8.996,0.6,0.0,0.138,False
9.041,0.6,0.0,0.129,False
9.085,0.6,0.0,0.119,False
9.13,0.6,0.0,0.11,False
9.175,0.6,0.0,0.101,False
9.219,0.6,0.0,0.091,False
9.264,0.6,0.0,0.082,False
9.309,0.6,0.0,0.073,False
9.353,0.6,0.0,0.065,False
9.398,0.6,0.0,0.057,False
9.443,0.6,0.0,0.05,False
9.487,0.6,0.0,0.043,False
9.532,0.6,0.0,0.037,False
9.577,0.6,0.0,0.032,False
9.621,0.6,0.0,0.028,False
9.666,0.6,0.0,0.024,False
9.711,0.6,0.0,0.022,False
9.755,0.6,0.0,0.02,False
9.8,0.6,0.0,0.02,True
