X,Y,yaw,velocity,readable
3.95,2.02,0.0,0.2,True
4.015,2.02,0.0,0.201,False
4.08,2.02,0.0,0.203,False
4.145,2.02,0.0,0.207,False
4.21,2.02,0.0,0.213,False
4.275,2.02,0.0,0.22,False
4.34,2.02,0.0,0.229,False
4.405,2.02,0.0,0.239,False
4.47,2.02,0.0,0.25,False
4.535,2.02,0.0,0.262,False
4.6,2.02,0.0,0.275,False
4.665,2.02,0.0,0.289,False
4.73,2.02,0.0,0.304,False
4.795,2.02,0.0,0.319,False
4.86,2.02,0.0,0.334,False
4.925,2.02,0.0,0.35,False
4.99,2.02,0.0,0.366,False
5.055,2.02,0.0,0.381,False
5.12,2.02,0.0,0.396,False
5.185,2.02,0.0,0.411,False
5.25,2.02,0.0,0.425,False
5.315,2.02,0.0,0.438,False
5.38,2.02,0.0,0.45,False
5.445,2.02,0.0,0.461,False
5.51,2.02,0.0,0.471,False
5.575,2.02,0.0,0.48,False
5.64,2.02,0.0,0.487,False
5.705,2.02,0.0,0.493,False
5.77,2.02,0.0,0.497,False
5.835,2.02,0.0,0.499,False
5.9,2.02,0.0,0.5,True
5.96,2.02,0.0,0.499,False
6.02,2.02,0.0,0.496,False
6.08,2.02,0.0,0.49,False
6.14,2.02,0.0,0.483,False
6.2,2.02,0.0,0.473,False
6.26,2.02,0.0,0.462,False
6.32,2.02,0.0,0.449,False
6.38,2.02,0.0,0.434,False
6.44,2.02,0.0,0.418,False
6.5,2.02,0.0,0.4,False
6.56,2.02,0.0,0.381,False
6.62,2.02,0.0,0.362,False
6.68,2.02,0.0,0.342,False
6.74,2.02,0.0,0.321,False
6.8,2.02,0.0,0.3,False
6.86,2.02,0.0,0.279,False
6.92,2.02,0.0,0.258,False
6.98,2.02,0.0,0.238,False
7.04,2.02,0.0,0.219,False
7.1,2.02,0.0,0.2,False
7.16,2.02,0.0,0.182,False
7.22,2.02,0.0,0.166,False
7.28,2.02,0.0,0.151,False
7.34,2.02,0.0,0.138,False
7.4,2.02,0.0,0.127,False
7.46,2.02,0.0,0.117,False
7.52,2.02,0.0,0.11,False
7.58,2.02,0.0,0.104,False
7.64,2.02,0.0,0.101,False
7.7,2.02,0.0,0.1,True
7.7,1.993,0.0,0.101,False
7.7,1.965,0.0,0.102,False
7.7,1.938,0.0,0.105,False
7.7,1.911,0.0,0.109,False
7.7,1.883,0.0,0.113,False
7.7,1.856,0.0,0.119,False
7.7,1.829,0.0,0.126,False
7.7,1.801,0.0,0.133,False
7.7,1.774,0.0,0.141,False
7.7,1.747,0.0,0.15,False
7.7,1.719,0.0,0.159,False
7.7,1.692,0.0,0.169,False
7.7,1.665,0.0,0.179,False
7.7,1.637,0.0,0.19,False
7.7,1.61,0.0,0.2,False
7.7,1.583,0.0,0.21,False
7.7,1.555,0.0,0.221,False
7.7,1.528,0.0,0.231,False
7.7,1.501,0.0,0.241,False
7.7,1.473,0.0,0.25,False
7.7,1.446,0.0,0.259,False
7.7,1.419,0.0,0.267,False
7.7,1.391,0.0,0.274,False
7.7,1.364,0.0,0.281,False
7.7,1.337,0.0,0.287,False
7.7,1.309,0.0,0.291,False
7.7,1.282,0.0,0.295,False
7.7,1.255,0.0,0.298,False
7.7,1.227,0.0,0.299,False
7.7,1.2,0.0,0.3,True
7.7,1.18,0.0,0.3,False
7.7,1.16,0.0,0.299,False
7.7,1.14,0.0,0.298,False
7.7,1.12,0.0,0.296,False
7.7,1.1,0.0,0.293,False
7.7,1.08,0.0,0.29,False
7.7,1.06,0.0,0.287,False
7.7,1.04,0.0,0.283,False
7.7,1.02,0.0,0.279,False
7.7,1.0,0.0,0.275,False
7.7,0.98,0.0,0.27,False
7.7,0.96,0.0,0.265,False
7.7,0.94,0.0,0.26,False
7.7,0.92,0.0,0.255,False
7.7,0.9,0.0,0.25,False
7.7,0.88,0.0,0.245,False
7.7,0.86,0.0,0.24,False
7.7,0.84,0.0,0.235,False
7.7,0.82,0.0,0.23,False
7.7,0.8,0.0,0.225,False
7.7,0.78,0.0,0.221,False
7.7,0.76,0.0,0.217,False
7.7,0.74,0.0,0.213,False
7.7,0.72,0.0,0.21,False
7.7,0.7,0.0,0.207,False
7.7,0.68,0.0,0.204,False
7.7,0.66,0.0,0.202,False
7.7,0.64,0.0,0.201,False
7.7,0.62,0.0,0.2,False
7.7,0.6,0.0,0.2,True
7.77,0.6,0.0,0.2,False
7.84,0.6,0.0,0.198,False
7.91,0.6,0.0,0.196,False
7.98,0.6,0.0,0.192,False
8.05,0.6,0.0,0.188,False
8.12,0.6,0.0,0.183,False
8.19,0.6,0.0,0.177,False
8.26,0.6,0.0,0.17,False
8.33,0.6,0.0,0.163,False
8.4,0.6,0.0,0.155,False
8.47,0.6,0.0,0.147,False
8.54,0.6,0.0,0.138,False
8.61,0.6,0.0,0.129,False
8.68,0.6,0.0,0.119,False
8.75,0.6,0.0,0.11,False
8.82,0.6,0.0,0.101,False
8.89,0.6,0.0,0.091,False
8.96,0.6,0.0,0.082,False
9.03,0.6,0.0,0.073,False
9.1,0.6,0.0,0.065,False
9.17,0.6,0.0,0.057,False
9.24,0.6,0.0,0.05,False
9.31,0.6,0.0,0.043,False
9.38,0.6,0.0,0.037,False
9.45,0.6,0.0,0.032,False
9.52,0.6,0.0,0.028,False
9.59,0.6,0.0,0.024,False
9.66,0.6,0.0,0.022,False
9.73,0.6,0.0,0.02,False
9.8,0.6,0.0,0.02,True
