X,Y,yaw,velocity,readable
9.566,0.6,0.0,0.348,True
9.541,0.593,0.0,0.348,False
9.517,0.585,0.0,0.348,False
9.492,0.578,0.0,0.348,False
9.468,0.571,0.0,0.348,False
9.443,0.563,0.0,0.348,False
9.419,0.556,0.0,0.348,False
9.394,0.549,0.0,0.348,False
9.37,0.541,0.0,0.348,False
9.345,0.534,0.0,0.348,False
9.321,0.527,0.0,0.348,False
9.296,0.519,0.0,0.348,False
9.272,0.512,0.0,0.348,False
9.247,0.505,0.0,0.348,False
9.223,0.497,0.0,0.348,False
9.198,0.49,0.0,0.348,False
9.173,0.483,0.0,0.348,False
9.149,0.475,0.0,0.348,False
9.124,0.468,0.0,0.348,False
9.1,0.461,0.0,0.348,False
9.075,0.453,0.0,0.348,False
9.051,0.446,0.0,0.348,False
9.026,0.439,0.0,0.348,False
9.002,0.431,0.0,0.348,False
8.977,0.424,0.0,0.348,False
8.953,0.417,0.0,0.348,False
8.928,0.409,0.0,0.348,False
8.904,0.402,0.0,0.348,False
8.879,0.395,0.0,0.348,False
8.855,0.387,0.0,0.348,False
8.83,0.38,0.0,0.348,True
8.809,0.392,0.006,0.348,False
8.788,0.405,0.012,0.348,False
8.767,0.417,0.018,0.348,False
8.746,0.429,0.024,0.348,False
8.725,0.442,0.03,0.348,False
8.704,0.454,0.036,0.348,False
8.683,0.466,0.043,0.348,False
8.662,0.479,0.049,0.348,False
8.641,0.491,0.055,0.348,False
8.62,0.503,0.061,0.348,False
8.599,0.516,0.067,0.348,False
8.578,0.528,0.073,0.348,False
8.557,0.54,0.079,0.348,False
8.536,0.553,0.085,0.348,False
8.515,0.565,0.091,0.348,False
8.494,0.577,0.098,0.348,False
8.473,0.59,0.104,0.348,False
8.452,0.602,0.11,0.348,False
8.431,0.614,0.116,0.348,False
8.41,0.627,0.122,0.348,False
8.389,0.639,0.128,0.348,False
8.368,0.651,0.134,0.348,False
8.347,0.664,0.14,0.348,False
8.326,0.676,0.146,0.348,False
8.305,0.688,0.152,0.348,False
8.284,0.701,0.159,0.348,False
8.263,0.713,0.165,0.348,False
8.242,0.725,0.171,0.348,False
8.221,0.738,0.177,0.348,False
8.2,0.75,0.183,0.348,True
8.197,0.768,0.193,0.348,False
8.193,0.787,0.203,0.348,False
8.19,0.805,0.213,0.348,False
8.187,0.823,0.223,0.348,False
8.183,0.842,0.233,0.348,False
8.18,0.86,0.243,0.348,False
8.177,0.878,0.253,0.348,False
8.173,0.897,0.263,0.348,False
8.17,0.915,0.273,0.348,False
8.167,0.933,0.283,0.348,False
8.163,0.952,0.293,0.348,False
8.16,0.97,0.303,0.348,False
8.157,0.988,0.313,0.348,False
8.153,1.007,0.323,0.348,False
8.15,1.025,0.333,0.348,False
8.147,1.043,0.343,0.348,False
8.143,1.062,0.353,0.348,False
8.14,1.08,0.363,0.348,False
8.137,1.098,0.373,0.348,False
8.133,1.117,0.383,0.348,False
8.13,1.135,0.393,0.348,False
8.127,1.153,0.403,0.348,False
8.123,1.172,0.413,0.348,False
8.12,1.19,0.423,0.348,False
8.117,1.208,0.433,0.348,False
8.113,1.227,0.443,0.348,False
8.11,1.245,0.453,0.348,False
8.107,1.263,0.463,0.348,False
8.103,1.282,0.473,0.348,False
8.1,1.3,0.483,0.348,True
8.11,1.313,0.483,0.348,False
8.12,1.327,0.483,0.346,False
8.13,1.34,0.483,0.344,False
8.14,1.353,0.483,0.342,False
8.15,1.367,0.483,0.338,False
8.16,1.38,0.483,0.334,False
8.17,1.393,0.483,0.329,False
8.18,1.407,0.483,0.324,False
8.19,1.42,0.483,0.317,False
8.2,1.433,0.483,0.311,False
8.21,1.447,0.483,0.304,False
8.22,1.46,0.483,0.297,False
8.23,1.473,0.483,0.289,False
8.24,1.487,0.483,0.282,False
8.25,1.5,0.483,0.274,False
8.26,1.513,0.483,0.266,False
8.27,1.527,0.483,0.259,False
8.28,1.54,0.483,0.251,False
8.29,1.553,0.483,0.244,False
8.3,1.567,0.483,0.237,False
8.31,1.58,0.483,0.231,False
8.32,1.593,0.483,0.224,False
8.33,1.607,0.483,0.219,False
8.34,1.62,0.483,0.214,False
8.35,1.633,0.483,0.21,False
8.36,1.647,0.483,0.206,False
8.37,1.66,0.483,0.204,False
8.38,1.673,0.483,0.202,False
8.39,1.687,0.483,0.2,False
8.4,1.7,0.483,0.2,True
8.408,1.706,0.484,0.2,False
8.416,1.711,0.486,0.198,False
8.424,1.717,0.487,0.196,False
8.431,1.723,0.488,0.192,False
8.439,1.728,0.49,0.188,False
8.447,1.734,0.491,0.183,False
8.455,1.74,0.492,0.177,False
8.463,1.745,0.494,0.17,False
8.471,1.751,0.495,0.163,False
8.478,1.757,0.496,0.155,False
8.486,1.762,0.498,0.147,False
8.494,1.768,0.499,0.138,False
8.502,1.774,0.5,0.129,False
8.51,1.779,0.502,0.119,False
8.518,1.785,0.503,0.11,False
8.525,1.791,0.504,0.101,False
8.533,1.796,0.506,0.091,False
8.541,1.802,0.507,0.082,False
8.549,1.808,0.508,0.073,False
8.557,1.813,0.51,0.065,False
8.565,1.819,0.511,0.057,False
8.572,1.825,0.512,0.05,False
8.58,1.83,0.514,0.043,False
8.588,1.836,0.515,0.037,False
8.596,1.842,0.516,0.032,False
8.604,1.847,0.518,0.028,False
8.612,1.853,0.519,0.024,False
8.619,1.859,0.52,0.022,False
8.627,1.864,0.522,0.02,False
8.635,1.87,0.523,0.02,True
