X,Y,yaw,velocity,readable
1.765,1.88,5.76,0.348,True
1.766,1.862,5.768,0.348,False
1.767,1.843,5.776,0.348,False
1.768,1.825,5.784,0.348,False
1.77,1.807,5.792,0.348,False
1.771,1.788,5.8,0.348,False
1.772,1.77,5.808,0.348,False
1.773,1.752,5.816,0.348,False
1.774,1.733,5.824,0.348,False
1.775,1.715,5.832,0.348,False
1.777,1.697,5.84,0.348,False
1.778,1.678,5.848,0.348,False
1.779,1.66,5.856,0.348,False
1.78,1.642,5.864,0.348,False
1.781,1.623,5.872,0.348,False
1.782,1.605,5.88,0.348,False
1.784,1.587,5.888,0.348,False
1.785,1.568,5.896,0.348,False
1.786,1.55,5.904,0.348,False
1.787,1.532,5.912,0.348,False
1.788,1.513,5.92,0.348,False
1.79,1.495,5.928,0.348,False
1.791,1.477,5.936,0.348,False
1.792,1.458,5.944,0.348,False
1.793,1.44,5.952,0.348,False
1.794,1.422,5.96,0.348,False
1.795,1.403,5.968,0.348,False
1.796,1.385,5.976,0.348,False
1.798,1.367,5.984,0.348,False
1.799,1.348,5.992,0.348,False
1.8,1.33,6.0,0.348,True
1.807,1.298,6.009,0.348,False
1.813,1.267,6.019,0.348,False
1.82,1.235,6.028,0.348,False
1.827,1.203,6.038,0.348,False
1.833,1.172,6.047,0.348,False
1.84,1.14,6.057,0.348,False
1.847,1.108,6.066,0.348,False
1.853,1.077,6.076,0.348,False
1.86,1.045,6.085,0.348,False
1.867,1.013,6.094,0.348,False
1.873,0.982,6.104,0.348,False
1.88,0.95,6.113,0.348,False
1.887,0.918,6.123,0.348,False
1.893,0.887,6.132,0.348,False
1.9,0.855,6.142,0.348,False
1.907,0.823,6.151,0.348,False
1.913,0.792,6.16,0.348,False
1.92,0.76,6.17,0.348,False
1.927,0.728,6.179,0.348,False
1.933,0.697,6.189,0.348,False
1.94,0.665,6.198,0.348,False
1.947,0.633,6.208,0.348,False
1.953,0.602,6.217,0.348,False
1.96,0.57,6.227,0.348,False
1.967,0.538,6.236,0.348,False
1.973,0.507,6.245,0.348,False
1.98,0.475,6.255,0.348,False
1.987,0.443,6.264,0.348,False
1.993,0.412,6.274,0.348,False
2.0,0.38,0.0,0.348,True
1.989,0.376,0.0,0.348,False
1.979,0.372,0.0,0.348,False
1.968,0.368,0.0,0.348,False
1.957,0.364,0.0,0.348,False
1.947,0.36,0.0,0.348,False
1.936,0.356,0.0,0.348,False
1.925,0.352,0.0,0.348,False
1.915,0.348,0.0,0.348,False
1.904,0.344,0.0,0.348,False
1.893,0.34,0.0,0.348,False
1.883,0.336,0.0,0.348,False
1.872,0.332,0.0,0.348,False
1.861,0.328,0.0,0.348,False
1.851,0.324,0.0,0.348,False
1.84,0.32,0.0,0.348,False
1.829,0.316,0.0,0.348,False
1.819,0.312,0.0,0.348,False
1.808,0.308,0.0,0.348,False
1.797,0.304,0.0,0.348,False
1.787,0.3,0.0,0.348,False
1.776,0.296,0.0,0.348,False
1.765,0.292,0.0,0.348,False
1.755,0.288,0.0,0.348,False
1.744,0.284,0.0,0.348,False
1.733,0.28,0.0,0.348,False
1.723,0.276,0.0,0.348,False
1.712,0.272,0.0,0.348,False
1.701,0.268,0.0,0.348,False
1.691,0.264,0.0,0.348,False
1.68,0.26,0.0,0.348,True
1.657,0.266,0.0,0.348,False
1.635,0.272,0.0,0.348,False
1.612,0.278,0.0,0.348,False
1.589,0.284,0.0,0.348,False
1.567,0.29,0.0,0.348,False
1.544,0.296,0.0,0.348,False
1.521,0.302,0.0,0.348,False
1.499,0.308,0.0,0.348,False
1.476,0.314,0.0,0.348,False
1.453,0.32,0.0,0.348,False
1.431,0.326,0.0,0.348,False
1.408,0.332,0.0,0.348,False
1.385,0.338,0.0,0.348,False
1.363,0.344,0.0,0.348,False
1.34,0.35,0.0,0.348,False
1.317,0.356,0.0,0.348,False
1.295,0.362,0.0,0.348,False
1.272,0.368,0.0,0.348,False
1.249,0.374,0.0,0.348,False
1.227,0.38,0.0,0.348,False
1.204,0.386,0.0,0.348,False
1.181,0.392,0.0,0.348,False
1.159,0.398,0.0,0.348,False
1.136,0.404,0.0,0.348,False
1.113,0.41,0.0,0.348,False
1.091,0.416,0.0,0.348,False
1.068,0.422,0.0,0.348,False
1.045,0.428,0.0,0.348,False
1.023,0.434,0.0,0.348,False
1.0,0.44,0.0,0.348,True
0.982,0.442,0.0,0.347,False
0.963,0.444,0.0,0.344,False
0.945,0.446,0.0,0.34,False
0.927,0.448,0.0,0.334,False
0.908,0.45,0.0,0.326,False
0.89,0.452,0.0,0.317,False
0.872,0.454,0.0,0.306,False
0.853,0.456,0.0,0.294,False
0.835,0.458,0.0,0.28,False
0.817,0.46,0.0,0.266,False
0.798,0.462,0.0,0.251,False
0.78,0.464,0.0,0.235,False
0.762,0.466,0.0,0.218,False
0.743,0.468,0.0,0.201,False
0.725,0.47,0.0,0.184,False
0.707,0.472,0.0,0.167,False
0.688,0.474,0.0,0.15,False
0.67,0.476,0.0,0.133,False
0.652,0.478,0.0,0.117,False
0.633,0.48,0.0,0.102,False
0.615,0.482,0.0,0.088,False
0.597,0.484,0.0,0.074,False
0.578,0.486,0.0,0.062,False
0.56,0.488,0.0,0.051,False
0.542,0.49,0.0,0.042,False
0.523,0.492,0.0,0.034,False
0.505,0.494,0.0,0.028,False
0.487,0.496,0.0,0.024,False
0.468,0.498,0.0,0.021,False
0.45,0.5,0.0,0.02,True
