X,Y,yaw,velocity,readable
0.835,0.6,0.0,0.3,True
0.857,0.6,0.0,0.3,False
0.879,0.6,0.0,0.301,False
0.901,0.6,0.0,0.302,False
0.924,0.6,0.0,0.304,False
0.946,0.6,0.0,0.307,False
0.968,0.6,0.0,0.31,False
0.99,0.6,0.0,0.313,False
1.012,0.6,0.0,0.317,False
1.034,0.6,0.0,0.321,False
1.057,0.6,0.0,0.325,False
1.079,0.6,0.0,0.33,False
1.101,0.6,0.0,0.335,False
1.123,0.6,0.0,0.34,False
1.145,0.6,0.0,0.345,False
1.167,0.6,0.0,0.35,False
1.19,0.6,0.0,0.355,False
1.212,0.6,0.0,0.36,False
1.234,0.6,0.0,0.365,False
1.256,0.6,0.0,0.37,False
1.278,0.6,0.0,0.375,False
1.3,0.6,0.0,0.379,False
1.323,0.6,0.0,0.383,False
1.345,0.6,0.0,0.387,False
1.367,0.6,0.0,0.39,False
1.389,0.6,0.0,0.393,False
1.411,0.6,0.0,0.396,False
1.433,0.6,0.0,0.398,False
1.456,0.6,0.0,0.399,False
1.478,0.6,0.0,0.4,False
1.5,0.6,0.0,0.4,True
1.523,0.6,0.0,0.4,False
1.547,0.6,0.0,0.4,False
1.57,0.6,0.0,0.4,False
1.593,0.6,0.0,0.4,False
1.617,0.6,0.0,0.4,False
1.64,0.6,0.0,0.4,False
1.663,0.6,0.0,0.4,False
1.687,0.6,0.0,0.4,False
1.71,0.6,0.0,0.4,False
1.733,0.6,0.0,0.4,False
1.757,0.6,0.0,0.4,False
1.78,0.6,0.0,0.4,False
1.803,0.6,0.0,0.4,False
1.827,0.6,0.0,0.4,False
1.85,0.6,0.0,0.4,False
1.873,0.6,0.0,0.4,False
1.897,0.6,0.0,0.4,False
1.92,0.6,0.0,0.4,False
1.943,0.6,0.0,0.4,False
1.967,0.6,0.0,0.4,False
1.99,0.6,0.0,0.4,False
2.013,0.6,0.0,0.4,False
2.037,0.6,0.0,0.4,False
2.06,0.6,0.0,0.4,False
2.083,0.6,0.0,0.4,False
2.107,0.6,0.0,0.4,False
2.13,0.6,0.0,0.4,False
2.153,0.6,0.0,0.4,False
2.177,0.6,0.0,0.4,False
2.2,0.6,0.0,0.4,True
2.217,0.617,6.274,0.4,False
2.233,0.633,6.264,0.4,False
2.25,0.65,6.255,0.4,False
2.267,0.667,6.245,0.4,False
2.283,0.683,6.236,0.4,False
2.3,0.7,6.227,0.4,False
2.317,0.717,6.217,0.4,False
2.333,0.733,6.208,0.4,False
2.35,0.75,6.198,0.4,False
2.367,0.767,6.189,0.4,False
2.383,0.783,6.179,0.4,False
2.4,0.8,6.17,0.4,False
2.417,0.817,6.16,0.4,False
2.433,0.833,6.151,0.4,False
2.45,0.85,6.142,0.4,False
2.467,0.867,6.132,0.4,False
2.483,0.883,6.123,0.4,False
2.5,0.9,6.113,0.4,False
2.517,0.917,6.104,0.4,False
2.533,0.933,6.094,0.4,False
2.55,0.95,6.085,0.4,False
2.567,0.967,6.076,0.4,False
2.583,0.983,6.066,0.4,False
2.6,1.0,6.057,0.4,False
2.617,1.017,6.047,0.4,False
2.633,1.033,6.038,0.4,False
2.65,1.05,6.028,0.4,False
2.667,1.067,6.019,0.4,False
2.683,1.083,6.009,0.4,False
2.7,1.1,6.0,0.4,True
2.71,1.116,5.998,0.399,False
2.721,1.131,5.996,0.396,False
2.731,1.147,5.994,0.391,False
2.741,1.163,5.992,0.385,False
2.752,1.178,5.99,0.377,False
2.762,1.194,5.988,0.367,False
2.772,1.21,5.986,0.355,False
2.783,1.225,5.984,0.342,False
2.793,1.241,5.982,0.328,False
2.803,1.257,5.98,0.312,False
2.814,1.272,5.978,0.296,False
2.824,1.288,5.976,0.279,False
2.834,1.304,5.974,0.261,False
2.845,1.319,5.972,0.243,False
2.855,1.335,5.97,0.225,False
2.865,1.351,5.968,0.207,False
2.876,1.366,5.966,0.189,False
2.886,1.382,5.964,0.171,False
2.896,1.398,5.962,0.154,False
2.907,1.413,5.96,0.138,False
2.917,1.429,5.958,0.122,False
2.927,1.445,5.956,0.108,False
2.938,1.46,5.954,0.095,False
2.948,1.476,5.952,0.083,False
2.958,1.492,5.95,0.073,False
2.969,1.507,5.948,0.065,False
2.979,1.523,5.946,0.059,False
2.989,1.539,5.944,0.054,False
3.0,1.554,5.942,0.051,False
3.01,1.57,5.94,0.05,True
