X,Y,yaw,velocity,readable
0.835,0.5,0.0,0.3,True
0.874,0.5,0.0,0.3,False
0.913,0.5,0.0,0.301,False
0.952,0.5,0.0,0.302,False
0.99,0.5,0.0,0.304,False
1.029,0.5,0.0,0.307,False
1.068,0.5,0.0,0.31,False
1.107,0.5,0.0,0.313,False
1.146,0.5,0.0,0.317,False
1.184,0.5,0.0,0.321,False
1.223,0.5,0.0,0.325,False
1.262,0.5,0.0,0.33,False
1.301,0.5,0.0,0.335,False
1.34,0.5,0.0,0.34,False
1.379,0.5,0.0,0.345,False
1.417,0.5,0.0,0.35,False
1.456,0.5,0.0,0.355,False
1.495,0.5,0.0,0.36,False
1.534,0.5,0.0,0.365,False
1.573,0.5,0.0,0.37,False
1.612,0.5,0.0,0.375,False
1.651,0.5,0.0,0.379,False
1.689,0.5,0.0,0.383,False
1.728,0.5,0.0,0.387,False
1.767,0.5,0.0,0.39,False
1.806,0.5,0.0,0.393,False
1.845,0.5,0.0,0.396,False
1.883,0.5,0.0,0.398,False
1.922,0.5,0.0,0.399,False
1.961,0.5,0.0,0.4,False
2.0,0.5,0.0,0.4,True
2.034,0.5,0.0,0.399,False
2.067,0.5,0.0,0.398,False
2.101,0.5,0.0,0.395,False
2.135,0.5,0.0,0.391,False
2.168,0.5,0.0,0.387,False
2.202,0.5,0.0,0.381,False
2.236,0.5,0.0,0.374,False
2.269,0.5,0.0,0.367,False
2.303,0.5,0.0,0.359,False
2.337,0.5,0.0,0.35,False
2.37,0.5,0.0,0.341,False
2.404,0.5,0.0,0.331,False
2.438,0.5,0.0,0.321,False
2.471,0.5,0.0,0.31,False
2.505,0.5,0.0,0.3,False
2.539,0.5,0.0,0.29,False
2.572,0.5,0.0,0.279,False
2.606,0.5,0.0,0.269,False
2.64,0.5,0.0,0.259,False
2.673,0.5,0.0,0.25,False
2.707,0.5,0.0,0.241,False
2.741,0.5,0.0,0.233,False
2.774,0.5,0.0,0.226,False
2.808,0.5,0.0,0.219,False
2.842,0.5,0.0,0.213,False
2.875,0.5,0.0,0.209,False
2.909,0.5,0.0,0.205,False
2.943,0.5,0.0,0.202,False
2.976,0.5,0.0,0.201,False
3.01,0.5,0.0,0.2,True
3.01,0.523,6.274,0.2,False
3.01,0.547,6.264,0.201,False
3.01,0.57,6.255,0.202,False
3.01,0.593,6.245,0.204,False
3.01,0.617,6.236,0.207,False
3.01,0.64,6.227,0.21,False
3.01,0.663,6.217,0.213,False
3.01,0.687,6.208,0.217,False
3.01,0.71,6.198,0.221,False
3.01,0.733,6.189,0.225,False
3.01,0.757,6.179,0.23,False
3.01,0.78,6.17,0.235,False
3.01,0.803,6.16,0.24,False
3.01,0.827,6.151,0.245,False
3.01,0.85,6.142,0.25,False
3.01,0.873,6.132,0.255,False
3.01,0.897,6.123,0.26,False
3.01,0.92,6.113,0.265,False
3.01,0.943,6.104,0.27,False
3.01,0.967,6.094,0.275,False
3.01,0.99,6.085,0.279,False
3.01,1.013,6.076,0.283,False
3.01,1.037,6.066,0.287,False
3.01,1.06,6.057,0.29,False
3.01,1.083,6.047,0.293,False
3.01,1.107,6.038,0.296,False
3.01,1.13,6.028,0.298,False
3.01,1.153,6.019,0.299,False
3.01,1.177,6.009,0.3,False
3.01,1.2,6.0,0.3,True
3.01,1.212,5.998,0.299,False
3.01,1.225,5.996,0.297,False
3.01,1.237,5.994,0.293,False
3.01,1.249,5.992,0.288,False
3.01,1.262,5.99,0.281,False
3.01,1.274,5.988,0.273,False
3.01,1.286,5.986,0.264,False
3.01,1.299,5.984,0.254,False
3.01,1.311,5.982,0.242,False
3.01,1.323,5.98,0.23,False
3.01,1.336,5.978,0.217,False
3.01,1.348,5.976,0.203,False
3.01,1.36,5.974,0.189,False
3.01,1.373,5.972,0.175,False
3.01,1.385,5.97,0.16,False
3.01,1.397,5.968,0.145,False
3.01,1.41,5.966,0.131,False
3.01,1.422,5.964,0.117,False
3.01,1.434,5.962,0.103,False
3.01,1.447,5.96,0.09,False
3.01,1.459,5.958,0.078,False
3.01,1.471,5.956,0.066,False
3.01,1.484,5.954,0.056,False
3.01,1.496,5.952,0.047,False
3.01,1.508,5.95,0.039,False
3.01,1.521,5.948,0.032,False
3.01,1.533,5.946,0.027,False
3.01,1.545,5.944,0.023,False
3.01,1.558,5.942,0.021,False
3.01,1.57,5.94,0.02,True
