X,Y,yaw,velocity,readable
0.835,0.6,0.0,0.3,True
0.88,0.6,0.0,0.3,False
0.926,0.6,0.0,0.3,False
0.972,0.6,0.0,0.3,False
1.017,0.6,0.0,0.3,False
1.062,0.6,0.0,0.3,False
1.108,0.6,0.0,0.3,False
1.153,0.6,0.0,0.3,False
1.199,0.6,0.0,0.3,False
1.244,0.6,0.0,0.3,False
1.29,0.6,0.0,0.3,False
1.336,0.6,0.0,0.3,False
1.381,0.6,0.0,0.3,False
1.427,0.6,0.0,0.3,False
1.472,0.6,0.0,0.3,False
1.518,0.6,0.0,0.3,False
1.563,0.6,0.0,0.3,False
1.609,0.6,0.0,0.3,False
1.654,0.6,0.0,0.3,False
1.7,0.6,0.0,0.3,False
1.745,0.6,0.0,0.3,False
1.791,0.6,0.0,0.3,False
1.836,0.6,0.0,0.3,False
1.882,0.6,0.0,0.3,False
1.927,0.6,0.0,0.3,False
1.973,0.6,0.0,0.3,False
2.018,0.6,0.0,0.3,False
2.064,0.6,0.0,0.3,False
2.109,0.6,0.0,0.3,False
2.155,0.6,0.0,0.3,False
2.2,0.6,0.0,0.3,True
2.2,0.62,0.0,0.3,False
2.2,0.64,0.0,0.3,False
2.2,0.66,0.0,0.3,False
2.2,0.68,0.0,0.3,False
2.2,0.7,0.0,0.3,False
2.2,0.72,0.0,0.3,False
2.2,0.74,0.0,0.3,False
2.2,0.76,0.0,0.3,False
2.2,0.78,0.0,0.3,False
2.2,0.8,0.0,0.3,False
2.2,0.82,0.0,0.3,False
2.2,0.84,0.0,0.3,False
2.2,0.86,0.0,0.3,False
2.2,0.88,0.0,0.3,False
2.2,0.9,0.0,0.3,False
2.2,0.92,0.0,0.3,False
2.2,0.94,0.0,0.3,False
2.2,0.96,0.0,0.3,False
2.2,0.98,0.0,0.3,False
2.2,1.0,0.0,0.3,False
2.2,1.02,0.0,0.3,False
2.2,1.04,0.0,0.3,False
2.2,1.06,0.0,0.3,False
2.2,1.08,0.0,0.3,False
2.2,1.1,0.0,0.3,False
2.2,1.12,0.0,0.3,False
2.2,1.14,0.0,0.3,False
2.2,1.16,0.0,0.3,False
2.2,1.18,0.0,0.3,False
2.2,1.2,0.0,0.3,True
2.2,1.212,6.277,0.3,False
2.2,1.225,6.271,0.301,False
2.2,1.237,6.265,0.302,False
2.2,1.249,6.259,0.304,False
2.2,1.262,6.253,0.307,False
2.2,1.274,6.247,0.31,False
2.2,1.286,6.24,0.313,False
2.2,1.299,6.234,0.317,False
2.2,1.311,6.228,0.321,False
2.2,1.323,6.222,0.325,False
2.2,1.336,6.216,0.33,False
2.2,1.348,6.21,0.335,False
2.2,1.36,6.204,0.34,False
2.2,1.373,6.198,0.345,False
2.2,1.385,6.192,0.35,False
2.2,1.397,6.185,0.355,False
2.2,1.41,6.179,0.36,False
2.2,1.422,6.173,0.365,False
2.2,1.434,6.167,0.37,False
2.2,1.447,6.161,0.375,False
2.2,1.459,6.155,0.379,False
2.2,1.471,6.149,0.383,False
2.2,1.484,6.143,0.387,False
2.2,1.496,6.137,0.39,False
2.2,1.508,6.131,0.393,False
2.2,1.521,6.124,0.396,False
2.2,1.533,6.118,0.398,False
2.2,1.545,6.112,0.399,False
2.2,1.558,6.106,0.4,False
2.2,1.57,6.1,0.4,True
2.227,1.57,6.095,0.399,False
2.254,1.57,6.089,0.396,False
2.281,1.57,6.084,0.391,False
2.308,1.57,6.079,0.384,False
2.335,1.57,6.073,0.375,False
2.362,1.57,6.068,0.364,False
2.389,1.57,6.063,0.351,False
2.416,1.57,6.057,0.337,False
2.443,1.57,6.052,0.322,False
2.47,1.57,6.047,0.305,False
2.497,1.57,6.041,0.287,False
2.524,1.57,6.036,0.269,False
2.551,1.57,6.031,0.25,False
2.578,1.57,6.025,0.23,False
2.605,1.57,6.02,0.21,False
2.632,1.57,6.015,0.19,False
2.659,1.57,6.009,0.17,False
2.686,1.57,6.004,0.151,False
2.713,1.57,5.999,0.133,False
2.74,1.57,5.993,0.115,False
2.767,1.57,5.988,0.098,False
2.794,1.57,5.983,0.083,False
2.821,1.57,5.977,0.069,False
2.848,1.57,5.972,0.056,False
2.875,1.57,5.967,0.045,False
2.902,1.57,5.961,0.036,False
2.929,1.57,5.956,0.029,False
2.956,1.57,5.951,0.024,False
2.983,1.57,5.945,0.021,False
3.01,1.57,5.94,0.02,True
