X,Y,yaw,velocity,readable
3.01,1.57,5.94,0.3,True
3.01,1.558,5.946,0.3,False
3.01,1.545,5.951,0.3,False
3.01,1.533,5.957,0.3,False
3.01,1.521,5.963,0.3,False
3.01,1.508,5.968,0.3,False
3.01,1.496,5.974,0.3,False
3.01,1.484,5.979,0.3,False
3.01,1.471,5.985,0.3,False
3.01,1.459,5.991,0.3,False
3.01,1.447,5.996,0.3,False
3.01,1.434,6.002,0.3,False
3.01,1.422,6.008,0.3,False
3.01,1.41,6.013,0.3,False
3.01,1.397,6.019,0.3,False
3.01,1.385,6.024,0.3,False
3.01,1.373,6.03,0.3,False
3.01,1.36,6.036,0.3,False
3.01,1.348,6.041,0.3,False
3.01,1.336,6.047,0.3,False
3.01,1.323,6.053,0.3,False
3.01,1.311,6.058,0.3,False
3.01,1.299,6.064,0.3,False
3.01,1.286,6.07,0.3,False
3.01,1.274,6.075,0.3,False
3.01,1.262,6.081,0.3,False
3.01,1.249,6.086,0.3,False
3.01,1.237,6.092,0.3,False
3.01,1.225,6.098,0.3,False
3.01,1.212,6.103,0.3,False
3.01,1.2,6.109,0.3,True
3.01,1.177,6.115,0.3,False
3.01,1.153,6.121,0.3,False
3.01,1.13,6.126,0.3,False
3.01,1.107,6.132,0.3,False
3.01,1.083,6.138,0.3,False
3.01,1.06,6.144,0.3,False
3.01,1.037,6.15,0.3,False
3.01,1.013,6.155,0.3,False
3.01,0.99,6.161,0.3,False
3.01,0.967,6.167,0.3,False
3.01,0.943,6.173,0.3,False
3.01,0.92,6.179,0.3,False
3.01,0.897,6.184,0.3,False
3.01,0.873,6.19,0.3,False
3.01,0.85,6.196,0.3,False
3.01,0.827,6.202,0.3,False
3.01,0.803,6.208,0.3,False
3.01,0.78,6.214,0.3,False
3.01,0.757,6.219,0.3,False
3.01,0.733,6.225,0.3,False
3.01,0.71,6.231,0.3,False
3.01,0.687,6.237,0.3,False
3.01,0.663,6.243,0.3,False
3.01,0.64,6.248,0.3,False
3.01,0.617,6.254,0.3,False
3.01,0.593,6.26,0.3,False
3.01,0.57,6.266,0.3,False
3.01,0.547,6.272,0.3,False
3.01,0.523,6.277,0.3,False
3.01,0.5,0.0,0.3,True
3.0,0.5,0.0,0.3,False
2.989,0.5,0.0,0.301,False
2.979,0.5,0.0,0.302,False
2.969,0.5,0.0,0.304,False
2.958,0.5,0.0,0.307,False
2.948,0.5,0.0,0.31,False
2.938,0.5,0.0,0.313,False
2.927,0.5,0.0,0.317,False
2.917,0.5,0.0,0.321,False
2.907,0.5,0.0,0.325,False
2.896,0.5,0.0,0.33,False
