X,Y,yaw,velocity,readable
0.835,0.6,0.0,0.2,True
0.874,0.603,0.0,0.2,False
0.913,0.605,0.0,0.201,False
0.952,0.608,0.0,0.202,False
0.992,0.611,0.0,0.204,False
1.031,0.613,0.0,0.207,False
1.07,0.616,0.0,0.21,False
1.109,0.619,0.0,0.213,False
1.148,0.621,0.0,0.217,False
1.188,0.624,0.0,0.221,False
1.227,0.627,0.0,0.225,False
1.266,0.629,0.0,0.23,False
1.305,0.632,0.0,0.235,False
1.344,0.635,0.0,0.24,False
1.383,0.637,0.0,0.245,False
1.422,0.64,0.0,0.25,False
1.462,0.643,0.0,0.255,False
1.501,0.645,0.0,0.26,False
1.54,0.648,0.0,0.265,False
1.579,0.651,0.0,0.27,False
1.618,0.653,0.0,0.275,False
1.657,0.656,0.0,0.279,False
1.697,0.659,0.0,0.283,False
1.736,0.661,0.0,0.287,False
1.775,0.664,0.0,0.29,False
1.814,0.667,0.0,0.293,False
1.853,0.669,0.0,0.296,False
1.892,0.672,0.0,0.298,False
1.932,0.675,0.0,0.299,False
1.971,0.677,0.0,0.3,False
2.01,0.68,0.0,0.3,True
2.056,0.697,0.0,0.3,False
2.101,0.713,0.0,0.301,False
2.147,0.73,0.0,0.302,False
2.193,0.747,0.0,0.304,False
2.238,0.763,0.0,0.307,False
2.284,0.78,0.0,0.31,False
2.33,0.797,0.0,0.313,False
2.375,0.813,0.0,0.317,False
2.421,0.83,0.0,0.321,False
2.467,0.847,0.0,0.325,False
2.512,0.863,0.0,0.33,False
2.558,0.88,0.0,0.335,False
2.604,0.897,0.0,0.34,False
2.649,0.913,0.0,0.345,False
2.695,0.93,0.0,0.35,False
2.741,0.947,0.0,0.355,False
2.786,0.963,0.0,0.36,False
2.832,0.98,0.0,0.365,False
2.878,0.997,0.0,0.37,False
2.923,1.013,0.0,0.375,False
2.969,1.03,0.0,0.379,False
3.015,1.047,0.0,0.383,False
3.06,1.063,0.0,0.387,False
3.106,1.08,0.0,0.39,False
3.152,1.097,0.0,0.393,False
3.197,1.113,0.0,0.396,False
3.243,1.13,0.0,0.398,False
3.289,1.147,0.0,0.399,False
3.334,1.163,0.0,0.4,False
3.38,1.18,0.0,0.4,True
3.441,1.208,0.0,0.399,False
3.501,1.236,0.0,0.396,False
3.562,1.264,0.0,0.391,False
3.623,1.292,0.0,0.384,False
3.683,1.32,0.0,0.375,False
3.744,1.348,0.0,0.364,False
3.805,1.376,0.0,0.351,False
3.865,1.404,0.0,0.337,False
3.926,1.432,0.0,0.322,False
3.987,1.46,0.0,0.305,False
4.047,1.488,0.0,0.287,False
4.108,1.516,0.0,0.269,False
4.169,1.544,0.0,0.25,False
4.229,1.572,0.0,0.23,False
4.29,1.6,0.0,0.21,False
4.351,1.628,0.0,0.19,False
4.411,1.656,0.0,0.17,False
4.472,1.684,0.0,0.151,False
4.533,1.712,0.0,0.133,False
4.593,1.74,0.0,0.115,False
4.654,1.768,0.0,0.098,False
4.715,1.796,0.0,0.083,False
4.775,1.824,0.0,0.069,False
4.836,1.852,0.0,0.056,False
4.897,1.88,0.0,0.045,False
4.957,1.908,0.0,0.036,False
5.018,1.936,0.0,0.029,False
5.079,1.964,0.0,0.024,False
5.139,1.992,0.0,0.021,False
5.2,2.02,0.0,0.02,True
