X,Y,yaw,velocity,readable
0.835,0.6,0.0,0.2,True
0.88,0.6,0.0,0.2,False
0.926,0.6,0.0,0.2,False
0.972,0.6,0.0,0.2,False
1.017,0.6,0.0,0.2,False
1.062,0.6,0.0,0.2,False
1.108,0.6,0.0,0.2,False
1.153,0.6,0.0,0.2,False
1.199,0.6,0.0,0.2,False
1.244,0.6,0.0,0.2,False
1.29,0.6,0.0,0.2,False
1.336,0.6,0.0,0.2,False
1.381,0.6,0.0,0.2,False
1.427,0.6,0.0,0.2,False
1.472,0.6,0.0,0.2,False
1.518,0.6,0.0,0.2,False
1.563,0.6,0.0,0.2,False
1.609,0.6,0.0,0.2,False
1.654,0.6,0.0,0.2,False
1.7,0.6,0.0,0.2,False
1.745,0.6,0.0,0.2,False
1.791,0.6,0.0,0.2,False
1.836,0.6,0.0,0.2,False
1.882,0.6,0.0,0.2,False
1.927,0.6,0.0,0.2,False
1.973,0.6,0.0,0.2,False
2.018,0.6,0.0,0.2,False
2.064,0.6,0.0,0.2,False
2.109,0.6,0.0,0.2,False
2.155,0.6,0.0,0.2,False
2.2,0.6,0.0,0.2,True
2.2,0.62,0.0,0.2,False
2.2,0.64,0.0,0.2,False
2.2,0.66,0.0,0.2,False
2.2,0.68,0.0,0.2,False
2.2,0.7,0.0,0.2,False
2.2,0.72,0.0,0.2,False
2.2,0.74,0.0,0.2,False
2.2,0.76,0.0,0.2,False
2.2,0.78,0.0,0.2,False
2.2,0.8,0.0,0.2,False
2.2,0.82,0.0,0.2,False
2.2,0.84,0.0,0.2,False
2.2,0.86,0.0,0.2,False
2.2,0.88,0.0,0.2,False
2.2,0.9,0.0,0.2,False
2.2,0.92,0.0,0.2,False
2.2,0.94,0.0,0.2,False
2.2,0.96,0.0,0.2,False
2.2,0.98,0.0,0.2,False
2.2,1.0,0.0,0.2,False
2.2,1.02,0.0,0.2,False
2.2,1.04,0.0,0.2,False
2.2,1.06,0.0,0.2,False
2.2,1.08,0.0,0.2,False
2.2,1.1,0.0,0.2,False
2.2,1.12,0.0,0.2,False
2.2,1.14,0.0,0.2,False
2.2,1.16,0.0,0.2,False
2.2,1.18,0.0,0.2,False
2.2,1.2,0.0,0.2,True
2.2,1.227,0.0,0.201,False
2.2,1.255,0.0,0.202,False
2.2,1.282,0.0,0.205,False
2.2,1.309,0.0,0.209,False
2.2,1.337,0.0,0.213,False
2.2,1.364,0.0,0.219,False
2.2,1.391,0.0,0.226,False
2.2,1.419,0.0,0.233,False
2.2,1.446,0.0,0.241,False
2.2,1.473,0.0,0.25,False
2.2,1.501,0.0,0.259,False
2.2,1.528,0.0,0.269,False
2.2,1.555,0.0,0.279,False
2.2,1.583,0.0,0.29,False
2.2,1.61,0.0,0.3,False
2.2,1.637,0.0,0.31,False
2.2,1.665,0.0,0.321,False
2.2,1.692,0.0,0.331,False
2.2,1.719,0.0,0.341,False
2.2,1.747,0.0,0.35,False
2.2,1.774,0.0,0.359,False
2.2,1.801,0.0,0.367,False
2.2,1.829,0.0,0.374,False
2.2,1.856,0.0,0.381,False
2.2,1.883,0.0,0.387,False
2.2,1.911,0.0,0.391,False
2.2,1.938,0.0,0.395,False
2.2,1.965,0.0,0.398,False
2.2,1.993,0.0,0.399,False
2.2,2.02,0.0,0.4,True
2.25,2.02,0.0,0.399,False
2.3,2.02,0.0,0.398,False
2.35,2.02,0.0,0.395,False
2.4,2.02,0.0,0.391,False
2.45,2.02,0.0,0.387,False
2.5,2.02,0.0,0.381,False
2.55,2.02,0.0,0.374,False
2.6,2.02,0.0,0.367,False
2.65,2.02,0.0,0.359,False
2.7,2.02,0.0,0.35,False
2.75,2.02,0.0,0.341,False
2.8,2.02,0.0,0.331,False
2.85,2.02,0.0,0.321,False
2.9,2.02,0.0,0.31,False
2.95,2.02,0.0,0.3,False
3.0,2.02,0.0,0.29,False
3.05,2.02,0.0,0.279,False
3.1,2.02,0.0,0.269,False
3.15,2.02,0.0,0.259,False
3.2,2.02,0.0,0.25,False
3.25,2.02,0.0,0.241,False
3.3,2.02,0.0,0.233,False
3.35,2.02,0.0,0.226,False
3.4,2.02,0.0,0.219,False
3.45,2.02,0.0,0.213,False
3.5,2.02,0.0,0.209,False
3.55,2.02,0.0,0.205,False
3.6,2.02,0.0,0.202,False
3.65,2.02,0.0,0.201,False
3.7,2.02,0.0,0.2,True
3.75,2.02,0.0,0.2,False
3.8,2.02,0.0,0.198,False
3.85,2.02,0.0,0.196,False
3.9,2.02,0.0,0.192,False
3.95,2.02,0.0,0.188,False
4.0,2.02,0.0,0.183,False
4.05,2.02,0.0,0.177,False
4.1,2.02,0.0,0.17,False
4.15,2.02,0.0,0.163,False
4.2,2.02,0.0,0.155,False
4.25,2.02,0.0,0.147,False
4.3,2.02,0.0,0.138,False
4.35,2.02,0.0,0.129,False
4.4,2.02,0.0,0.119,False
4.45,2.02,0.0,0.11,False
4.5,2.02,0.0,0.101,False
4.55,2.02,0.0,0.091,False
4.6,2.02,0.0,0.082,False
4.65,2.02,0.0,0.073,False
4.7,2.02,0.0,0.065,False
4.75,2.02,0.0,0.057,False
4.8,2.02,0.0,0.05,False
4.85,2.02,0.0,0.043,False
4.9,2.02,0.0,0.037,False
4.95,2.02,0.0,0.032,False
5.0,2.02,0.0,0.028,False
5.05,2.02,0.0,0.024,False
5.1,2.02,0.0,0.022,False
5.15,2.02,0.0,0.02,False
5.2,2.02,0.0,0.02,True
