X,Y,yaw,velocity,readable
5.2,2.02,0.0,0.2,True
5.149,1.993,0.0,0.201,False
5.099,1.967,0.0,0.203,False
5.048,1.94,0.0,0.207,False
4.997,1.913,0.0,0.213,False
4.947,1.887,0.0,0.22,False
4.896,1.86,0.0,0.229,False
4.845,1.833,0.0,0.239,False
4.795,1.807,0.0,0.25,False
4.744,1.78,0.0,0.262,False
4.693,1.753,0.0,0.275,False
4.643,1.727,0.0,0.289,False
4.592,1.7,0.0,0.304,False
4.541,1.673,0.0,0.319,False
4.491,1.647,0.0,0.334,False
4.44,1.62,0.0,0.35,False
4.389,1.593,0.0,0.366,False
4.339,1.567,0.0,0.381,False
4.288,1.54,0.0,0.396,False
4.237,1.513,0.0,0.411,False
4.187,1.487,0.0,0.425,False
4.136,1.46,0.0,0.438,False
4.085,1.433,0.0,0.45,False
4.035,1.407,0.0,0.461,False
3.984,1.38,0.0,0.471,False
3.933,1.353,0.0,0.48,False
3.883,1.327,0.0,0.487,False
3.832,1.3,0.0,0.493,False
3.781,1.273,0.0,0.497,False
3.731,1.247,0.0,0.499,False
3.68,1.22,0.0,0.5,True
3.622,1.199,0.0,0.499,False
3.564,1.179,0.0,0.497,False
3.506,1.158,0.0,0.493,False
3.448,1.137,0.0,0.487,False
3.39,1.117,0.0,0.48,False
3.332,1.096,0.0,0.471,False
3.274,1.075,0.0,0.461,False
3.216,1.055,0.0,0.45,False
3.158,1.034,0.0,0.438,False
3.1,1.013,0.0,0.425,False
3.042,0.993,0.0,0.411,False
2.984,0.972,0.0,0.396,False
2.926,0.951,0.0,0.381,False
2.868,0.931,0.0,0.366,False
2.81,0.91,0.0,0.35,False
2.752,0.889,0.0,0.334,False
2.694,0.869,0.0,0.319,False
2.636,0.848,0.0,0.304,False
2.578,0.827,0.0,0.289,False
2.52,0.807,0.0,0.275,False
2.462,0.786,0.0,0.262,False
2.404,0.765,0.0,0.25,False
2.346,0.745,0.0,0.239,False
2.288,0.724,0.0,0.229,False
2.23,0.703,0.0,0.22,False
2.172,0.683,0.0,0.213,False
2.114,0.662,0.0,0.207,False
2.056,0.641,0.0,0.203,False
1.998,0.621,0.0,0.201,False
1.94,0.6,0.0,0.2,True
1.895,0.6,0.0,0.2,False
1.851,0.6,0.0,0.198,False
1.806,0.6,0.0,0.196,False
1.761,0.6,0.0,0.192,False
1.717,0.6,0.0,0.188,False
1.672,0.6,0.0,0.183,False
1.627,0.6,0.0,0.177,False
1.583,0.6,0.0,0.17,False
1.538,0.6,0.0,0.163,False
1.493,0.6,0.0,0.155,False
1.449,0.6,0.0,0.147,False
1.404,0.6,0.0,0.138,False
1.359,0.6,0.0,0.129,False
1.315,0.6,0.0,0.119,False
1.27,0.6,0.0,0.11,False
1.225,0.6,0.0,0.101,False
1.181,0.6,0.0,0.091,False
1.136,0.6,0.0,0.082,False
1.091,0.6,0.0,0.073,False
1.047,0.6,0.0,0.065,False
1.002,0.6,0.0,0.057,False
0.957,0.6,0.0,0.05,False
0.913,0.6,0.0,0.043,False
0.868,0.6,0.0,0.037,False
0.823,0.6,0.0,0.032,False
0.779,0.6,0.0,0.028,False
0.734,0.6,0.0,0.024,False
0.689,0.6,0.0,0.022,False
0.645,0.6,0.0,0.02,False
0.6,0.6,0.0,0.02,True
