X,Y,yaw,velocity,readable
5.2,2.02,0.0,0.2,True
5.2,1.993,0.0,0.2,False
5.2,1.965,0.0,0.2,False
5.2,1.938,0.0,0.2,False
5.2,1.911,0.0,0.2,False
5.2,1.883,0.0,0.2,False
5.2,1.856,0.0,0.2,False
5.2,1.829,0.0,0.2,False
5.2,1.801,0.0,0.2,False
5.2,1.774,0.0,0.2,False
5.2,1.747,0.0,0.2,False
5.2,1.719,0.0,0.2,False
5.2,1.692,0.0,0.2,False
5.2,1.665,0.0,0.2,False
5.2,1.637,0.0,0.2,False
5.2,1.61,0.0,0.2,False
5.2,1.583,0.0,0.2,False
5.2,1.555,0.0,0.2,False
5.2,1.528,0.0,0.2,False
5.2,1.501,0.0,0.2,False
5.2,1.473,0.0,0.2,False
5.2,1.446,0.0,0.2,False
5.2,1.419,0.0,0.2,False
5.2,1.391,0.0,0.2,False
5.2,1.364,0.0,0.2,False
5.2,1.337,0.0,0.2,False
5.2,1.309,0.0,0.2,False
5.2,1.282,0.0,0.2,False
5.2,1.255,0.0,0.2,False
5.2,1.227,0.0,0.2,False
5.2,1.2,0.0,0.2,True
5.2,1.18,0.0,0.2,False
5.2,1.16,0.0,0.2,False
5.2,1.14,0.0,0.2,False
5.2,1.12,0.0,0.2,False
5.2,1.1,0.0,0.2,False
5.2,1.08,0.0,0.2,False
5.2,1.06,0.0,0.2,False
5.2,1.04,0.0,0.2,False
5.2,1.02,0.0,0.2,False
5.2,1.0,0.0,0.2,False
5.2,0.98,0.0,0.2,False
5.2,0.96,0.0,0.2,False
5.2,0.94,0.0,0.2,False
5.2,0.92,0.0,0.2,False
5.2,0.9,0.0,0.2,False
5.2,0.88,0.0,0.2,False
5.2,0.86,0.0,0.2,False
5.2,0.84,0.0,0.2,False
5.2,0.82,0.0,0.2,False
5.2,0.8,0.0,0.2,False
5.2,0.78,0.0,0.2,False
5.2,0.76,0.0,0.2,False
5.2,0.74,0.0,0.2,False
5.2,0.72,0.0,0.2,False
5.2,0.7,0.0,0.2,False
5.2,0.68,0.0,0.2,False
5.2,0.66,0.0,0.2,False
5.2,0.64,0.0,0.2,False
5.2,0.62,0.0,0.2,False
5.2,0.6,0.0,0.2,True
5.147,0.6,0.0,0.201,False
5.093,0.6,0.0,0.203,False
5.04,0.6,0.0,0.207,False
4.987,0.6,0.0,0.213,False
4.933,0.6,0.0,0.22,False
4.88,0.6,0.0,0.229,False
4.827,0.6,0.0,0.239,False
4.773,0.6,0.0,0.25,False
4.72,0.6,0.0,0.262,False
4.667,0.6,0.0,0.275,False
4.613,0.6,0.0,0.289,False
4.56,0.6,0.0,0.304,False
4.507,0.6,0.0,0.319,False
4.453,0.6,0.0,0.334,False
4.4,0.6,0.0,0.35,False
4.347,0.6,0.0,0.366,False
4.293,0.6,0.0,0.381,False
4.24,0.6,0.0,0.396,False
4.187,0.6,0.0,0.411,False
4.133,0.6,0.0,0.425,False
4.08,0.6,0.0,0.438,False
4.027,0.6,0.0,0.45,False
3.973,0.6,0.0,0.461,False
3.92,0.6,0.0,0.471,False
3.867,0.6,0.0,0.48,False
3.813,0.6,0.0,0.487,False
3.76,0.6,0.0,0.493,False
3.707,0.6,0.0,0.497,False
3.653,0.6,0.0,0.499,False
3.6,0.6,0.0,0.5,True
3.547,0.6,0.0,0.499,False
3.493,0.6,0.0,0.497,False
3.44,0.6,0.0,0.493,False
3.387,0.6,0.0,0.487,False
3.333,0.6,0.0,0.48,False
3.28,0.6,0.0,0.471,False
3.227,0.6,0.0,0.461,False
3.173,0.6,0.0,0.45,False
3.12,0.6,0.0,0.438,False
3.067,0.6,0.0,0.425,False
3.013,0.6,0.0,0.411,False
2.96,0.6,0.0,0.396,False
2.907,0.6,0.0,0.381,False
2.853,0.6,0.0,0.366,False
2.8,0.6,0.0,0.35,False
2.747,0.6,0.0,0.334,False
2.693,0.6,0.0,0.319,False
2.64,0.6,0.0,0.304,False
2.587,0.6,0.0,0.289,False
2.533,0.6,0.0,0.275,False
2.48,0.6,0.0,0.262,False
2.427,0.6,0.0,0.25,False
2.373,0.6,0.0,0.239,False
2.32,0.6,0.0,0.229,False
2.267,0.6,0.0,0.22,False
2.213,0.6,0.0,0.213,False
2.16,0.6,0.0,0.207,False
2.107,0.6,0.0,0.203,False
2.053,0.6,0.0,0.201,False
2.0,0.6,0.0,0.2,True
1.953,0.6,0.0,0.2,False
1.907,0.6,0.0,0.198,False
1.86,0.6,0.0,0.196,False
1.813,0.6,0.0,0.192,False
1.767,0.6,0.0,0.188,False
1.72,0.6,0.0,0.183,False
1.673,0.6,0.0,0.177,False
1.627,0.6,0.0,0.17,False
1.58,0.6,0.0,0.163,False
1.533,0.6,0.0,0.155,False
1.487,0.6,0.0,0.147,False
1.44,0.6,0.0,0.138,False
1.393,0.6,0.0,0.129,False
1.347,0.6,0.0,0.119,False
1.3,0.6,0.0,0.11,False
1.253,0.6,0.0,0.101,False
1.207,0.6,0.0,0.091,False
1.16,0.6,0.0,0.082,False
1.113,0.6,0.0,0.073,False
1.067,0.6,0.0,0.065,False
1.02,0.6,0.0,0.057,False
0.973,0.6,0.0,0.05,False
0.927,0.6,0.0,0.043,False
0.88,0.6,0.0,0.037,False
0.833,0.6,0.0,0.032,False
0.787,0.6,0.0,0.028,False
0.74,0.6,0.0,0.024,False
0.693,0.6,0.0,0.022,False
0.647,0.6,0.0,0.02,False
0.6,0.6,0.0,0.02,True
