X,Y,yaw,velocity,readable
5.2,2.02,0.0,0.2,True
5.147,2.02,0.0,0.201,False
5.093,2.02,0.0,0.203,False
5.04,2.02,0.0,0.207,False
4.987,2.02,0.0,0.213,False
4.933,2.02,0.0,0.22,False
4.88,2.02,0.0,0.229,False
4.827,2.02,0.0,0.239,False
4.773,2.02,0.0,0.25,False
4.72,2.02,0.0,0.262,False
4.667,2.02,0.0,0.275,False
4.613,2.02,0.0,0.289,False
4.56,2.02,0.0,0.304,False
4.507,2.02,0.0,0.319,False
4.453,2.02,0.0,0.334,False
4.4,2.02,0.0,0.35,False
4.347,2.02,0.0,0.366,False
4.293,2.02,0.0,0.381,False
4.24,2.02,0.0,0.396,False
4.187,2.02,0.0,0.411,False
4.133,2.02,0.0,0.425,False
4.08,2.02,0.0,0.438,False
4.027,2.02,0.0,0.45,False
3.973,2.02,0.0,0.461,False
3.92,2.02,0.0,0.471,False
3.867,2.02,0.0,0.48,False
3.813,2.02,0.0,0.487,False
3.76,2.02,0.0,0.493,False
3.707,2.02,0.0,0.497,False
3.653,2.02,0.0,0.499,False
3.6,2.02,0.0,0.5,True
3.57,2.02,0.0,0.499,False
3.54,2.02,0.0,0.496,False
3.51,2.02,0.0,0.49,False
3.48,2.02,0.0,0.483,False
3.45,2.02,0.0,0.473,False
3.42,2.02,0.0,0.462,False
3.39,2.02,0.0,0.449,False
3.36,2.02,0.0,0.434,False
3.33,2.02,0.0,0.418,False
3.3,2.02,0.0,0.4,False
3.27,2.02,0.0,0.381,False
3.24,2.02,0.0,0.362,False
3.21,2.02,0.0,0.342,False
3.18,2.02,0.0,0.321,False
3.15,2.02,0.0,0.3,False
3.12,2.02,0.0,0.279,False
3.09,2.02,0.0,0.258,False
3.06,2.02,0.0,0.238,False
3.03,2.02,0.0,0.219,False
3.0,2.02,0.0,0.2,False
2.97,2.02,0.0,0.182,False
2.94,2.02,0.0,0.166,False
2.91,2.02,0.0,0.151,False
2.88,2.02,0.0,0.138,False
2.85,2.02,0.0,0.127,False
2.82,2.02,0.0,0.117,False
2.79,2.02,0.0,0.11,False
2.76,2.02,0.0,0.104,False
2.73,2.02,0.0,0.101,False
2.7,2.02,0.0,0.1,True
2.7,1.993,0.0,0.101,False
2.7,1.965,0.0,0.102,False
2.7,1.938,0.0,0.105,False
2.7,1.911,0.0,0.109,False
2.7,1.883,0.0,0.113,False
2.7,1.856,0.0,0.119,False
2.7,1.829,0.0,0.126,False
2.7,1.801,0.0,0.133,False
2.7,1.774,0.0,0.141,False
2.7,1.747,0.0,0.15,False
2.7,1.719,0.0,0.159,False
2.7,1.692,0.0,0.169,False
2.7,1.665,0.0,0.179,False
2.7,1.637,0.0,0.19,False
2.7,1.61,0.0,0.2,False
2.7,1.583,0.0,0.21,False
2.7,1.555,0.0,0.221,False
2.7,1.528,0.0,0.231,False
2.7,1.501,0.0,0.241,False
2.7,1.473,0.0,0.25,False
2.7,1.446,0.0,0.259,False
2.7,1.419,0.0,0.267,False
2.7,1.391,0.0,0.274,False
2.7,1.364,0.0,0.281,False
2.7,1.337,0.0,0.287,False
2.7,1.309,0.0,0.291,False
2.7,1.282,0.0,0.295,False
2.7,1.255,0.0,0.298,False
2.7,1.227,0.0,0.299,False
2.7,1.2,0.0,0.3,True
2.7,1.18,0.0,0.3,False
2.7,1.16,0.0,0.299,False
2.7,1.14,0.0,0.298,False
2.7,1.12,0.0,0.296,False
2.7,1.1,0.0,0.293,False
2.7,1.08,0.0,0.29,False
2.7,1.06,0.0,0.287,False
2.7,1.04,0.0,0.283,False
2.7,1.02,0.0,0.279,False
2.7,1.0,0.0,0.275,False
2.7,0.98,0.0,0.27,False
2.7,0.96,0.0,0.265,False
2.7,0.94,0.0,0.26,False
2.7,0.92,0.0,0.255,False
2.7,0.9,0.0,0.25,False
2.7,0.88,0.0,0.245,False
2.7,0.86,0.0,0.24,False
2.7,0.84,0.0,0.235,False
2.7,0.82,0.0,0.23,False
2.7,0.8,0.0,0.225,False
2.7,0.78,0.0,0.221,False
2.7,0.76,0.0,0.217,False
2.7,0.74,0.0,0.213,False
2.7,0.72,0.0,0.21,False
2.7,0.7,0.0,0.207,False
2.7,0.68,0.0,0.204,False
2.7,0.66,0.0,0.202,False
2.7,0.64,0.0,0.201,False
2.7,0.62,0.0,0.2,False
2.7,0.6,0.0,0.2,True
2.63,0.6,0.0,0.2,False
2.56,0.6,0.0,0.198,False
2.49,0.6,0.0,0.196,False
2.42,0.6,0.0,0.192,False
2.35,0.6,0.0,0.188,False
2.28,0.6,0.0,0.183,False
2.21,0.6,0.0,0.177,False
2.14,0.6,0.0,0.17,False
2.07,0.6,0.0,0.163,False
2.0,0.6,0.0,0.155,False
1.93,0.6,0.0,0.147,False
1.86,0.6,0.0,0.138,False
1.79,0.6,0.0,0.129,False
1.72,0.6,0.0,0.119,False
1.65,0.6,0.0,0.11,False
1.58,0.6,0.0,0.101,False
1.51,0.6,0.0,0.091,False
1.44,0.6,0.0,0.082,False
1.37,0.6,0.0,0.073,False
1.3,0.6,0.0,0.065,False
1.23,0.6,0.0,0.057,False
1.16,0.6,0.0,0.05,False
1.09,0.6,0.0,0.043,False
1.02,0.6,0.0,0.037,False
0.95,0.6,0.0,0.032,False
0.88,0.6,0.0,0.028,False
0.81,0.6,0.0,0.024,False
0.74,0.6,0.0,0.022,False
0.67,0.6,0.0,0.02,False
0.6,0.6,0.0,0.02,True
