X,Y,yaw,velocity,readable
8.635,1.8,0.524,0.2,True
8.547,1.8,0.514,0.201,False
8.459,1.8,0.504,0.204,False
8.371,1.8,0.494,0.21,False
8.284,1.8,0.484,0.217,False
8.196,1.8,0.474,0.227,False
8.108,1.8,0.464,0.238,False
8.02,1.8,0.454,0.251,False
7.932,1.8,0.444,0.266,False
7.845,1.8,0.434,0.282,False
7.757,1.8,0.424,0.3,False
7.669,1.8,0.414,0.319,False
7.581,1.8,0.404,0.338,False
7.493,1.8,0.394,0.358,False
7.405,1.8,0.384,0.379,False
7.317,1.8,0.374,0.4,False
7.23,1.8,0.365,0.421,False
7.142,1.8,0.355,0.442,False
7.054,1.8,0.345,0.462,False
6.966,1.8,0.335,0.481,False
6.878,1.8,0.325,0.5,False
6.79,1.8,0.315,0.518,False
6.703,1.8,0.305,0.534,False
6.615,1.8,0.295,0.549,False
6.527,1.8,0.285,0.562,False
6.439,1.8,0.275,0.573,False
6.351,1.8,0.265,0.583,False
6.264,1.8,0.255,0.59,False
6.176,1.8,0.245,0.596,False
6.088,1.8,0.235,0.599,False
6.0,1.8,0.225,0.6,True
5.867,1.8,0.217,0.599,False
5.733,1.8,0.21,0.597,False
5.6,1.8,0.203,0.593,False
5.467,1.8,0.195,0.587,False
5.333,1.8,0.188,0.58,False
5.2,1.8,0.18,0.571,False
5.067,1.8,0.172,0.561,False
4.933,1.8,0.165,0.55,False
4.8,1.8,0.158,0.538,False
4.667,1.8,0.15,0.525,False
4.533,1.8,0.143,0.511,False
4.4,1.8,0.135,0.496,False
4.267,1.8,0.128,0.481,False
4.133,1.8,0.12,0.466,False
4.0,1.8,0.113,0.45,False
3.867,1.8,0.105,0.434,False
3.733,1.8,0.098,0.419,False
3.6,1.8,0.09,0.404,False
3.467,1.8,0.083,0.389,False
3.333,1.8,0.075,0.375,False
3.2,1.8,0.068,0.362,False
3.067,1.8,0.06,0.35,False
2.933,1.8,0.052,0.339,False
2.8,1.8,0.045,0.329,False
2.667,1.8,0.038,0.32,False
2.533,1.8,0.03,0.313,False
2.4,1.8,0.022,0.307,False
2.267,1.8,0.015,0.303,False
2.133,1.8,0.008,0.301,False
2.0,1.8,0.0,0.3,True
2.0,1.78,0.0,0.3,False
2.0,1.76,0.0,0.301,False
2.0,1.74,0.0,0.302,False
2.0,1.72,0.0,0.304,False
2.0,1.7,0.0,0.307,False
2.0,1.68,0.0,0.31,False
2.0,1.66,0.0,0.313,False
2.0,1.64,0.0,0.317,False
2.0,1.62,0.0,0.321,False
2.0,1.6,0.0,0.325,False
2.0,1.58,0.0,0.33,False
2.0,1.56,0.0,0.335,False
2.0,1.54,0.0,0.34,False
2.0,1.52,0.0,0.345,False
2.0,1.5,0.0,0.35,False
2.0,1.48,0.0,0.355,False
2.0,1.46,0.0,0.36,False
2.0,1.44,0.0,0.365,False
2.0,1.42,0.0,0.37,False
2.0,1.4,0.0,0.375,False
2.0,1.38,0.0,0.379,False
2.0,1.36,0.0,0.383,False
2.0,1.34,0.0,0.387,False
2.0,1.32,0.0,0.39,False
2.0,1.3,0.0,0.393,False
2.0,1.28,0.0,0.396,False
2.0,1.26,0.0,0.398,False
2.0,1.24,0.0,0.399,False
2.0,1.22,0.0,0.4,False
2.0,1.2,0.0,0.4,True
2.0,1.173,0.0,0.4,False
2.0,1.147,0.0,0.4,False
2.0,1.12,0.0,0.4,False
2.0,1.093,0.0,0.4,False
2.0,1.067,0.0,0.4,False
2.0,1.04,0.0,0.4,False
2.0,1.013,0.0,0.4,False
2.0,0.987,0.0,0.4,False
2.0,0.96,0.0,0.4,False
2.0,0.933,0.0,0.4,False
2.0,0.907,0.0,0.4,False
2.0,0.88,0.0,0.4,False
2.0,0.853,0.0,0.4,False
2.0,0.827,0.0,0.4,False
2.0,0.8,0.0,0.4,False
2.0,0.773,0.0,0.4,False
2.0,0.747,0.0,0.4,False
2.0,0.72,0.0,0.4,False
2.0,0.693,0.0,0.4,False
2.0,0.667,0.0,0.4,False
2.0,0.64,0.0,0.4,False
2.0,0.613,0.0,0.4,False
2.0,0.587,0.0,0.4,False
2.0,0.56,0.0,0.4,False
2.0,0.533,0.0,0.4,False
2.0,0.507,0.0,0.4,False
2.0,0.48,0.0,0.4,False
2.0,0.453,0.0,0.4,False
2.0,0.427,0.0,0.4,False
2.0,0.4,0.0,0.4,True
1.972,0.4,0.0,0.4,False
1.943,0.4,0.0,0.399,False
1.915,0.4,0.0,0.398,False
1.887,0.4,0.0,0.396,False
1.858,0.4,0.0,0.393,False
1.83,0.4,0.0,0.39,False
1.802,0.4,0.0,0.387,False
1.773,0.4,0.0,0.383,False
1.745,0.4,0.0,0.379,False
1.717,0.4,0.0,0.375,False
1.688,0.4,0.0,0.37,False
1.66,0.4,0.0,0.365,False
1.632,0.4,0.0,0.36,False
1.603,0.4,0.0,0.355,False
1.575,0.4,0.0,0.35,False
1.547,0.4,0.0,0.345,False
1.518,0.4,0.0,0.34,False
1.49,0.4,0.0,0.335,False
1.462,0.4,0.0,0.33,False
1.433,0.4,0.0,0.325,False
1.405,0.4,0.0,0.321,False
1.377,0.4,0.0,0.317,False
1.348,0.4,0.0,0.313,False
1.32,0.4,0.0,0.31,False
1.292,0.4,0.0,0.307,False
1.263,0.4,0.0,0.304,False
1.235,0.4,0.0,0.302,False
1.207,0.4,0.0,0.301,False
1.178,0.4,0.0,0.3,False
1.15,0.4,0.0,0.3,True
1.127,0.403,0.0,0.299,False
1.103,0.407,0.0,0.297,False
1.08,0.41,0.0,0.293,False
1.057,0.413,0.0,0.288,False
1.033,0.417,0.0,0.281,False
1.01,0.42,0.0,0.273,False
0.987,0.423,0.0,0.264,False
0.963,0.427,0.0,0.254,False
0.94,0.43,0.0,0.242,False
0.917,0.433,0.0,0.23,False
0.893,0.437,0.0,0.217,False
0.87,0.44,0.0,0.203,False
0.847,0.443,0.0,0.189,False
0.823,0.447,0.0,0.175,False
0.8,0.45,0.0,0.16,False
0.777,0.453,0.0,0.145,False
0.753,0.457,0.0,0.131,False
0.73,0.46,0.0,0.117,False
0.707,0.463,0.0,0.103,False
0.683,0.467,0.0,0.09,False
0.66,0.47,0.0,0.078,False
0.637,0.473,0.0,0.066,False
0.613,0.477,0.0,0.056,False
0.59,0.48,0.0,0.047,False
0.567,0.483,0.0,0.039,False
0.543,0.487,0.0,0.032,False
0.52,0.49,0.0,0.027,False
0.497,0.493,0.0,0.023,False
0.473,0.497,0.0,0.021,False
0.45,0.5,0.0,0.02,True
