X,Y,yaw,velocity,readable
8.632,1.858,0.504,0.2,True
8.601,1.851,0.5,0.203,False
8.569,1.844,0.495,0.207,False
8.537,1.836,0.491,0.21,False
8.505,1.829,0.487,0.213,False
8.473,1.821,0.483,0.217,False
8.441,1.814,0.479,0.22,False
8.409,1.807,0.474,0.224,False
8.378,1.799,0.47,0.227,False
8.346,1.792,0.466,0.23,False
8.314,1.784,0.462,0.234,False
8.282,1.777,0.458,0.237,False
8.25,1.77,0.453,0.24,False
8.218,1.762,0.449,0.244,False
8.186,1.755,0.445,0.24369500213170245,False
8.155,1.747,0.441,0.24369500213170245,False
8.123,1.74,0.437,0.24369500213170245,False
8.091,1.733,0.432,0.24369500213170245,False
8.059,1.725,0.428,0.24369500213170245,False
8.027,1.718,0.424,0.24369500213170245,False
7.995,1.711,0.42,0.24369500213170245,False
7.963,1.703,0.416,0.24369500213170245,False
7.932,1.696,0.411,0.24369500213170245,False
7.9,1.688,0.407,0.24369500213170245,False
7.868,1.681,0.403,0.24369500213170245,False
7.836,1.674,0.399,0.24369500213170245,False
7.804,1.666,0.395,0.244,False
7.772,1.659,0.39,0.226,False
7.74,1.651,0.386,0.209,False
7.709,1.644,0.382,0.192,False
7.677,1.637,0.378,0.175,False
7.645,1.629,0.374,0.158,False
7.613,1.622,0.369,0.14,False
7.581,1.614,0.365,0.123,False
7.549,1.607,0.361,0.106,False
7.517,1.6,0.357,0.089,False
7.486,1.592,0.353,0.072,False
7.454,1.585,0.348,0.054,False
7.422,1.577,0.344,0.037,False
7.39,1.57,0.34,0.02,True
