X,Y,yaw,velocity,readable
1.7,1.8,0.0,0.65,True
1.7,1.797,0.0,0.65,False
1.7,1.794,0.0,0.65,False
1.7,1.791,0.0,0.65,False
1.7,1.788,0.0,0.65,False
1.7,1.785,0.0,0.65,False
1.7,1.782,0.0,0.65,False
1.7,1.779,0.0,0.65,False
1.7,1.776,0.0,0.651,False
1.7,1.773,0.0,0.651,False
1.7,1.77,0.0,0.651,False
1.7,1.767,0.0,0.651,False
1.7,1.764,0.0,0.651,False
1.7,1.761,0.0,0.652,False
1.7,1.758,0.0,0.652,False
1.7,1.755,0.0,0.652,False
1.7,1.752,0.0,0.652,False
1.7,1.749,0.0,0.653,False
1.7,1.746,0.0,0.653,False
1.7,1.743,0.0,0.653,False
1.7,1.74,0.0,0.654,False
1.7,1.737,0.0,0.654,False
1.7,1.734,0.0,0.654,False
1.7,1.731,0.0,0.655,False
1.7,1.728,0.0,0.655,False
1.7,1.725,0.0,0.656,False
1.7,1.722,0.0,0.656,False
1.7,1.719,0.0,0.657,False
1.7,1.716,0.0,0.657,False
1.7,1.713,0.0,0.658,False
1.7,1.71,0.0,0.658,False
1.7,1.707,0.0,0.659,False
1.7,1.704,0.0,0.659,False
1.7,1.701,0.0,0.66,False
1.7,1.698,0.0,0.66,False
1.7,1.695,0.0,0.661,False
1.7,1.692,0.0,0.662,False
1.7,1.689,0.0,0.662,False
1.7,1.686,0.0,0.663,False
1.7,1.683,0.0,0.664,False
1.7,1.68,0.0,0.664,False
1.7,1.677,0.0,0.665,False
1.7,1.674,0.0,0.666,False
1.7,1.671,0.0,0.666,False
1.7,1.668,0.0,0.667,False
1.7,1.665,0.0,0.668,False
1.7,1.662,0.0,0.669,False
1.7,1.659,0.0,0.67,False
1.7,1.656,0.0,0.67,False
1.7,1.653,0.0,0.671,False
1.7,1.65,0.0,0.672,False
1.7,1.647,0.0,0.673,False
1.7,1.644,0.0,0.674,False
1.7,1.641,0.0,0.675,False
1.7,1.638,0.0,0.675,False
1.7,1.635,0.0,0.676,False
1.7,1.632,0.0,0.677,False
1.7,1.629,0.0,0.678,False
1.7,1.626,0.0,0.679,False
1.7,1.623,0.0,0.68,False
1.7,1.62,0.0,0.681,False
1.7,1.617,0.0,0.682,False
1.7,1.614,0.0,0.683,False
1.7,1.611,0.0,0.684,False
1.7,1.608,0.0,0.685,False
1.7,1.605,0.0,0.686,False
1.7,1.602,0.0,0.687,False
1.7,1.599,0.0,0.688,False
1.7,1.596,0.0,0.689,False
1.7,1.593,0.0,0.69,False
1.7,1.59,0.0,0.691,False
1.7,1.587,0.0,0.692,False
1.7,1.584,0.0,0.693,False
1.7,1.581,0.0,0.694,False
1.7,1.578,0.0,0.695,False
1.7,1.575,0.0,0.696,False
1.7,1.572,0.0,0.697,False
1.7,1.569,0.0,0.698,False
1.7,1.566,0.0,0.7,False
1.7,1.563,0.0,0.701,False
1.7,1.56,0.0,0.702,False
1.7,1.557,0.0,0.703,False
1.7,1.554,0.0,0.704,False
1.7,1.551,0.0,0.705,False
1.7,1.548,0.0,0.706,False
1.7,1.545,0.0,0.707,False
1.7,1.542,0.0,0.709,False
1.7,1.539,0.0,0.71,False
1.7,1.536,0.0,0.711,False
1.7,1.533,0.0,0.712,False
1.7,1.53,0.0,0.713,False
1.7,1.527,0.0,0.714,False
1.7,1.524,0.0,0.716,False
1.7,1.521,0.0,0.717,False
1.7,1.518,0.0,0.718,False
1.7,1.515,0.0,0.719,False
1.7,1.512,0.0,0.72,False
1.7,1.509,0.0,0.721,False
1.7,1.506,0.0,0.723,False
1.7,1.503,0.0,0.724,False
1.7,1.5,0.0,0.725,False
1.7,1.497,0.0,0.726,False
1.7,1.494,0.0,0.727,False
1.7,1.491,0.0,0.729,False
1.7,1.488,0.0,0.73,False
1.7,1.485,0.0,0.731,False
1.7,1.482,0.0,0.732,False
1.7,1.479,0.0,0.733,False
1.7,1.476,0.0,0.734,False
1.7,1.473,0.0,0.736,False
1.7,1.47,0.0,0.737,False
1.7,1.467,0.0,0.738,False
1.7,1.464,0.0,0.739,False
1.7,1.461,0.0,0.74,False
1.7,1.458,0.0,0.741,False
1.7,1.455,0.0,0.743,False
1.7,1.452,0.0,0.744,False
1.7,1.449,0.0,0.745,False
1.7,1.446,0.0,0.746,False
1.7,1.443,0.0,0.747,False
1.7,1.44,0.0,0.748,False
1.7,1.437,0.0,0.749,False
1.7,1.434,0.0,0.75,False
1.7,1.431,0.0,0.752,False
1.7,1.428,0.0,0.753,False
1.7,1.425,0.0,0.754,False
1.7,1.422,0.0,0.755,False
1.7,1.419,0.0,0.756,False
1.7,1.416,0.0,0.757,False
1.7,1.413,0.0,0.758,False
1.7,1.41,0.0,0.759,False
1.7,1.407,0.0,0.76,False
1.7,1.404,0.0,0.761,False
1.7,1.401,0.0,0.762,False
1.7,1.398,0.0,0.763,False
1.7,1.395,0.0,0.764,False
1.7,1.392,0.0,0.765,False
1.7,1.389,0.0,0.766,False
1.7,1.386,0.0,0.767,False
1.7,1.383,0.0,0.768,False
1.7,1.38,0.0,0.769,False
1.7,1.377,0.0,0.77,False
1.7,1.374,0.0,0.771,False
1.7,1.371,0.0,0.772,False
1.7,1.368,0.0,0.773,False
1.7,1.365,0.0,0.774,False
1.7,1.362,0.0,0.775,False
1.7,1.359,0.0,0.775,False
1.7,1.356,0.0,0.776,False
1.7,1.353,0.0,0.777,False
1.7,1.35,0.0,0.778,False
1.7,1.347,0.0,0.779,False
1.7,1.344,0.0,0.78,False
1.7,1.341,0.0,0.78,False
1.7,1.338,0.0,0.781,False
1.7,1.335,0.0,0.782,False
1.7,1.332,0.0,0.783,False
1.7,1.329,0.0,0.784,False
1.7,1.326,0.0,0.784,False
1.7,1.323,0.0,0.785,False
1.7,1.32,0.0,0.786,False
1.7,1.317,0.0,0.786,False
1.7,1.314,0.0,0.787,False
1.7,1.311,0.0,0.788,False
1.7,1.308,0.0,0.788,False
1.7,1.305,0.0,0.789,False
1.7,1.302,0.0,0.79,False
1.7,1.299,0.0,0.79,False
1.7,1.296,0.0,0.791,False
1.7,1.293,0.0,0.791,False
1.7,1.29,0.0,0.792,False
1.7,1.287,0.0,0.792,False
1.7,1.284,0.0,0.793,False
1.7,1.281,0.0,0.793,False
1.7,1.278,0.0,0.794,False
1.7,1.275,0.0,0.794,False
1.7,1.272,0.0,0.795,False
1.7,1.269,0.0,0.795,False
1.7,1.266,0.0,0.796,False
1.7,1.263,0.0,0.796,False
1.7,1.26,0.0,0.796,False
1.7,1.257,0.0,0.797,False
1.7,1.254,0.0,0.797,False
1.7,1.251,0.0,0.797,False
1.7,1.248,0.0,0.798,False
1.7,1.245,0.0,0.798,False
1.7,1.242,0.0,0.798,False
1.7,1.239,0.0,0.798,False
1.7,1.236,0.0,0.799,False
1.7,1.233,0.0,0.799,False
1.7,1.23,0.0,0.799,False
1.7,1.227,0.0,0.799,False
1.7,1.224,0.0,0.799,False
1.7,1.221,0.0,0.8,False
1.7,1.218,0.0,0.8,False
1.7,1.215,0.0,0.8,False
1.7,1.212,0.0,0.8,False
1.7,1.209,0.0,0.8,False
1.7,1.206,0.0,0.8,False
1.7,1.203,0.0,0.8,False
1.7,1.2,0.0,0.8,True
1.7,1.197,0.0,0.8,False
1.7,1.194,0.0,0.8,False
1.7,1.191,0.0,0.8,False
1.7,1.188,0.0,0.8,False
1.7,1.185,0.0,0.8,False
1.7,1.182,0.0,0.799,False
1.7,1.179,0.0,0.799,False
1.7,1.176,0.0,0.799,False
1.7,1.173,0.0,0.799,False
1.7,1.17,0.0,0.798,False
1.7,1.167,0.0,0.798,False
1.7,1.164,0.0,0.797,False
1.7,1.161,0.0,0.797,False
1.7,1.158,0.0,0.796,False
1.7,1.155,0.0,0.796,False
1.7,1.152,0.0,0.795,False
1.7,1.149,0.0,0.795,False
1.7,1.146,0.0,0.794,False
1.7,1.143,0.0,0.793,False
1.7,1.14,0.0,0.793,False
1.7,1.137,0.0,0.792,False
1.7,1.134,0.0,0.791,False
1.7,1.131,0.0,0.79,False
1.7,1.128,0.0,0.789,False
1.7,1.125,0.0,0.789,False
1.7,1.122,0.0,0.788,False
1.7,1.119,0.0,0.787,False
1.7,1.116,0.0,0.786,False
1.7,1.113,0.0,0.785,False
1.7,1.11,0.0,0.784,False
1.7,1.107,0.0,0.783,False
1.7,1.104,0.0,0.781,False
1.7,1.101,0.0,0.78,False
1.7,1.098,0.0,0.779,False
1.7,1.095,0.0,0.778,False
1.7,1.092,0.0,0.777,False
1.7,1.089,0.0,0.775,False
1.7,1.086,0.0,0.774,False
1.7,1.083,0.0,0.773,False
1.7,1.08,0.0,0.771,False
1.7,1.077,0.0,0.77,False
1.7,1.074,0.0,0.769,False
1.7,1.071,0.0,0.767,False
1.7,1.068,0.0,0.766,False
1.7,1.065,0.0,0.764,False
1.7,1.062,0.0,0.763,False
1.7,1.059,0.0,0.761,False
1.7,1.056,0.0,0.759,False
1.7,1.053,0.0,0.758,False
1.7,1.05,0.0,0.756,False
1.7,1.047,0.0,0.754,False
1.7,1.044,0.0,0.753,False
1.7,1.041,0.0,0.751,False
1.7,1.038,0.0,0.749,False
1.7,1.035,0.0,0.747,False
1.7,1.032,0.0,0.746,False
1.7,1.029,0.0,0.744,False
1.7,1.026,0.0,0.742,False
1.7,1.023,0.0,0.74,False
1.7,1.02,0.0,0.738,False
1.7,1.017,0.0,0.736,False
1.7,1.014,0.0,0.734,False
1.7,1.011,0.0,0.732,False
1.7,1.008,0.0,0.73,False
1.7,1.005,0.0,0.728,False
1.7,1.002,0.0,0.726,False
1.7,0.999,0.0,0.724,False
1.7,0.996,0.0,0.722,False
1.7,0.993,0.0,0.72,False
1.7,0.99,0.0,0.718,False
1.7,0.987,0.0,0.716,False
1.7,0.984,0.0,0.714,False
1.7,0.981,0.0,0.712,False
1.7,0.978,0.0,0.71,False
1.7,0.975,0.0,0.707,False
1.7,0.972,0.0,0.705,False
1.7,0.969,0.0,0.703,False
1.7,0.966,0.0,0.701,False
1.7,0.963,0.0,0.699,False
1.7,0.96,0.0,0.696,False
1.7,0.957,0.0,0.694,False
1.7,0.954,0.0,0.692,False
1.7,0.951,0.0,0.69,False
1.7,0.948,0.0,0.687,False
1.7,0.945,0.0,0.685,False
1.7,0.942,0.0,0.683,False
1.7,0.939,0.0,0.68,False
1.7,0.936,0.0,0.678,False
1.7,0.933,0.0,0.676,False
1.7,0.93,0.0,0.673,False
1.7,0.927,0.0,0.671,False
1.7,0.924,0.0,0.669,False
1.7,0.921,0.0,0.666,False
1.7,0.918,0.0,0.664,False
1.7,0.915,0.0,0.662,False
1.7,0.912,0.0,0.659,False
1.7,0.909,0.0,0.657,False
1.7,0.906,0.0,0.655,False
1.7,0.903,0.0,0.652,False
1.7,0.9,0.0,0.65,False
1.7,0.897,0.0,0.648,False
1.7,0.894,0.0,0.645,False
1.7,0.891,0.0,0.643,False
1.7,0.888,0.0,0.641,False
1.7,0.885,0.0,0.638,False
1.7,0.882,0.0,0.636,False
1.7,0.879,0.0,0.634,False
1.7,0.876,0.0,0.631,False
1.7,0.873,0.0,0.629,False
1.7,0.87,0.0,0.627,False
1.7,0.867,0.0,0.624,False
1.7,0.864,0.0,0.622,False
1.7,0.861,0.0,0.62,False
1.7,0.858,0.0,0.617,False
1.7,0.855,0.0,0.615,False
1.7,0.852,0.0,0.613,False
1.7,0.849,0.0,0.61,False
1.7,0.846,0.0,0.608,False
1.7,0.843,0.0,0.606,False
1.7,0.84,0.0,0.604,False
1.7,0.837,0.0,0.601,False
1.7,0.834,0.0,0.599,False
1.7,0.831,0.0,0.597,False
1.7,0.828,0.0,0.595,False
1.7,0.825,0.0,0.593,False
1.7,0.822,0.0,0.59,False
1.7,0.819,0.0,0.588,False
1.7,0.816,0.0,0.586,False
