X,Y,yaw,velocity,readable
4.4,1.8,0.0,0.75,True
4.7,1.8,0.0,0.761,False
5.0,1.8,0.0,0.793,False
5.3,1.8,0.0,0.843,False
5.6,1.8,0.0,0.905,False
5.9,1.8,0.0,0.975,False
6.2,1.8,0.0,1.045,False
6.5,1.8,0.0,1.107,False
6.8,1.8,0.0,1.157,False
7.1,1.8,0.0,1.189,False
7.4,1.8,0.0,1.2,True
7.5,1.8,0.0,1.2,False
7.6,1.8,0.0,1.2,False
7.7,1.8,0.0,1.2,False
7.8,1.8,0.0,1.2,False
7.9,1.8,0.0,1.2,False
8.0,1.8,0.0,1.2,False
8.1,1.8,0.0,1.2,False
8.2,1.8,0.0,1.2,False
8.3,1.8,0.0,1.2,False
8.4,1.8,0.0,1.2,True
8.4,1.74,0.0,1.195,False
8.4,1.68,0.0,1.181,False
8.4,1.62,0.0,1.159,False
8.4,1.56,0.0,1.131,False
8.4,1.5,0.0,1.1,False
8.4,1.44,0.0,1.069,False
8.4,1.38,0.0,1.041,False
8.4,1.32,0.0,1.019,False
8.4,1.26,0.0,1.005,False
8.4,1.2,0.0,1.0,True
8.4,1.14,0.0,1.005,False
8.4,1.08,0.0,1.019,False
8.4,1.02,0.0,1.041,False
8.4,0.96,0.0,1.069,False
8.4,0.9,0.0,1.1,False
8.4,0.84,0.0,1.131,False
8.4,0.78,0.0,1.159,False
8.4,0.72,0.0,1.181,False
8.4,0.66,0.0,1.195,False
8.4,0.6,0.0,1.2,True
8.517,0.6,0.0,1.176,False
8.633,0.6,0.0,1.105,False
8.749,0.6,0.0,0.994,False
8.866,0.6,0.0,0.855,False
8.982,0.6,0.0,0.7,False
9.099,0.6,0.0,0.545,False
9.216,0.6,0.0,0.406,False
9.332,0.6,0.0,0.295,False
9.448,0.6,0.0,0.224,False
9.565,0.6,0.0,0.2,True
