X,Y,yaw,velocity,readable
9.565,0.65,0.0,0.5,True
9.526,0.648,0.0,0.501,False
9.487,0.647,0.0,0.502,False
9.448,0.645,0.0,0.505,False
9.41,0.643,0.0,0.509,False
9.371,0.642,0.0,0.513,False
9.332,0.64,0.0,0.519,False
9.293,0.638,0.0,0.526,False
9.254,0.637,0.0,0.533,False
9.216,0.635,0.0,0.541,False
9.177,0.633,0.0,0.55,False
9.138,0.632,0.0,0.559,False
9.099,0.63,0.0,0.569,False
9.06,0.628,0.0,0.579,False
9.021,0.627,0.0,0.59,False
8.983,0.625,0.0,0.6,False
8.944,0.623,0.0,0.61,False
8.905,0.622,0.0,0.621,False
8.866,0.62,0.0,0.631,False
8.827,0.618,0.0,0.641,False
8.788,0.617,0.0,0.65,False
8.749,0.615,0.0,0.659,False
8.711,0.613,0.0,0.667,False
8.672,0.612,0.0,0.674,False
8.633,0.61,0.0,0.681,False
8.594,0.608,0.0,0.687,False
8.555,0.607,0.0,0.691,False
8.517,0.605,0.0,0.695,False
8.478,0.603,0.0,0.698,False
8.439,0.602,0.0,0.699,False
8.4,0.6,0.0,0.7,True
8.4,0.62,0.0,0.701,False
8.4,0.64,0.0,0.703,False
8.4,0.66,0.0,0.707,False
8.4,0.68,0.0,0.713,False
8.4,0.7,0.0,0.72,False
8.4,0.72,0.0,0.729,False
8.4,0.74,0.0,0.739,False
8.4,0.76,0.0,0.75,False
8.4,0.78,0.0,0.762,False
8.4,0.8,0.0,0.775,False
8.4,0.82,0.0,0.789,False
8.4,0.84,0.0,0.804,False
8.4,0.86,0.0,0.819,False
8.4,0.88,0.0,0.834,False
8.4,0.9,0.0,0.85,False
8.4,0.92,0.0,0.866,False
8.4,0.94,0.0,0.881,False
8.4,0.96,0.0,0.896,False
8.4,0.98,0.0,0.911,False
8.4,1.0,0.0,0.925,False
8.4,1.02,0.0,0.938,False
8.4,1.04,0.0,0.95,False
8.4,1.06,0.0,0.961,False
8.4,1.08,0.0,0.971,False
8.4,1.1,0.0,0.98,False
8.4,1.12,0.0,0.987,False
8.4,1.14,0.0,0.993,False
8.4,1.16,0.0,0.997,False
8.4,1.18,0.0,0.999,False
8.4,1.2,0.0,1.0,True
8.4,1.22,0.0,1.0,False
8.4,1.24,0.0,1.0,False
8.4,1.26,0.0,1.0,False
8.4,1.28,0.0,1.0,False
8.4,1.3,0.0,1.0,False
8.4,1.32,0.0,1.0,False
8.4,1.34,0.0,1.0,False
8.4,1.36,0.0,1.0,False
8.4,1.38,0.0,1.0,False
8.4,1.4,0.0,1.0,False
8.4,1.42,0.0,1.0,False
8.4,1.44,0.0,1.0,False
8.4,1.46,0.0,1.0,False
8.4,1.48,0.0,1.0,False
