X,Y,yaw,velocity,readable
9.565,0.835,0.0,1.0,True
9.559,0.836,0.0,1.0,False
9.553,0.837,0.0,1.0,False
9.548,0.837,0.0,1.0,False
9.542,0.838,0.0,1.0,False
9.536,0.839,0.0,1.0,False
9.53,0.84,0.0,1.0,False
9.524,0.841,0.0,1.0,False
9.518,0.842,0.0,1.0,False
9.513,0.842,0.0,1.0,False
9.507,0.843,0.0,1.0,False
9.501,0.844,0.0,1.0,False
9.495,0.845,0.0,1.0,False
9.489,0.846,0.0,1.0,False
9.483,0.847,0.0,1.0,False
9.478,0.847,0.0,1.0,False
9.472,0.848,0.0,1.0,False
9.466,0.849,0.0,1.0,False
9.46,0.85,0.0,1.0,False
9.454,0.851,0.0,1.0,False
9.448,0.851,0.0,1.0,False
9.443,0.852,0.0,1.0,False
9.437,0.853,0.0,1.0,False
9.431,0.854,0.0,1.0,False
9.425,0.855,0.0,1.0,False
9.419,0.856,0.0,1.0,False
9.414,0.856,0.0,1.0,False
9.408,0.857,0.0,1.0,False
9.402,0.858,0.0,1.0,False
9.396,0.859,0.0,1.0,False
9.39,0.86,0.0,1.0,False
9.384,0.861,0.0,1.0,False
9.379,0.861,0.0,1.0,False
9.373,0.862,0.0,1.0,False
9.367,0.863,0.0,1.0,False
9.361,0.864,0.0,1.0,False
9.355,0.865,0.0,1.0,False
9.349,0.866,0.0,1.0,False
9.344,0.866,0.0,1.0,False
9.338,0.867,0.0,1.0,False
9.332,0.868,0.0,1.0,False
9.326,0.869,0.0,1.0,False
9.32,0.87,0.0,1.0,False
9.315,0.87,0.0,1.0,False
9.309,0.871,0.0,1.0,False
9.303,0.872,0.0,1.0,False
9.297,0.873,0.0,1.0,False
9.291,0.874,0.0,1.0,False
9.285,0.875,0.0,1.0,False
9.28,0.875,0.0,1.0,False
9.274,0.876,0.0,1.0,False
9.268,0.877,0.0,1.0,False
9.262,0.878,0.0,1.0,False
9.256,0.879,0.0,1.0,False
9.25,0.88,0.0,1.0,False
9.245,0.88,0.0,1.0,False
9.239,0.881,0.0,1.0,False
9.233,0.882,0.0,1.0,False
9.227,0.883,0.0,1.0,False
9.221,0.884,0.0,1.0,False
9.216,0.884,0.0,1.0,False
9.21,0.885,0.0,1.0,False
9.204,0.886,0.0,1.0,False
9.198,0.887,0.0,1.0,False
9.192,0.888,0.0,1.0,False
9.186,0.889,0.0,1.0,False
9.181,0.889,0.0,1.0,False
9.175,0.89,0.0,1.0,False
9.169,0.891,0.0,1.0,False
9.163,0.892,0.0,1.0,False
9.157,0.893,0.0,1.0,False
9.151,0.894,0.0,1.0,False
9.146,0.894,0.0,1.0,False
9.14,0.895,0.0,1.0,False
9.134,0.896,0.0,1.0,False
9.128,0.897,0.0,1.0,False
9.122,0.898,0.0,1.0,False
9.116,0.899,0.0,1.0,False
9.111,0.899,0.0,1.0,False
9.105,0.9,0.0,1.0,False
9.099,0.901,0.0,1.0,False
9.093,0.902,0.0,1.0,False
9.087,0.903,0.0,1.0,False
9.082,0.903,0.0,1.0,False
9.076,0.904,0.0,1.0,False
9.07,0.905,0.0,1.0,False
9.064,0.906,0.0,1.0,False
9.058,0.907,0.0,1.0,False
9.052,0.908,0.0,1.0,False
9.047,0.908,0.0,1.0,False
9.041,0.909,0.0,1.0,False
9.035,0.91,0.0,1.0,False
9.029,0.911,0.0,1.0,False
9.023,0.912,0.0,1.0,False
9.017,0.913,0.0,1.0,False
9.012,0.913,0.0,1.0,False
9.006,0.914,0.0,1.0,False
9.0,0.915,0.0,1.0,False
8.994,0.916,0.0,1.0,False
8.988,0.917,0.0,1.0,False
8.982,0.917,0.0,1.0,False
8.977,0.918,0.0,1.0,False
8.971,0.919,0.0,1.0,False
8.965,0.92,0.0,1.0,False
8.959,0.921,0.0,1.0,False
8.953,0.922,0.0,1.0,False
8.948,0.922,0.0,1.0,False
8.942,0.923,0.0,1.0,False
8.936,0.924,0.0,1.0,False
8.93,0.925,0.0,1.0,False
8.924,0.926,0.0,1.0,False
8.918,0.927,0.0,1.0,False
8.913,0.927,0.0,1.0,False
8.907,0.928,0.0,1.0,False
8.901,0.929,0.0,1.0,False
8.895,0.93,0.0,1.0,False
8.889,0.931,0.0,1.0,False
8.883,0.932,0.0,1.0,False
8.878,0.932,0.0,1.0,False
8.872,0.933,0.0,1.0,False
8.866,0.934,0.0,1.0,False
8.86,0.935,0.0,1.0,False
8.854,0.936,0.0,1.0,False
8.849,0.936,0.0,1.0,False
8.843,0.937,0.0,1.0,False
8.837,0.938,0.0,1.0,False
8.831,0.939,0.0,1.0,False
8.825,0.94,0.0,1.0,False
8.819,0.941,0.0,1.0,False
8.814,0.941,0.0,1.0,False
8.808,0.942,0.0,1.0,False
