X,Y,yaw,velocity,readable
2.7,1.9,0.785,0.5,True
2.688,1.872,0.759,0.501,False
2.676,1.845,0.733,0.505,False
2.664,1.817,0.707,0.512,False
2.652,1.789,0.68,0.522,False
2.64,1.762,0.654,0.533,False
2.628,1.734,0.628,0.548,False
2.616,1.706,0.602,0.564,False
2.604,1.679,0.576,0.583,False
2.592,1.651,0.55,0.603,False
2.58,1.623,0.523,0.625,False
2.568,1.596,0.497,0.648,False
2.556,1.568,0.471,0.673,False
2.544,1.54,0.445,0.698,False
2.532,1.513,0.419,0.724,False
2.52,1.485,0.393,0.75,False
2.508,1.457,0.366,0.776,False
2.496,1.43,0.34,0.802,False
2.484,1.402,0.314,0.827,False
2.472,1.374,0.288,0.852,False
2.46,1.347,0.262,0.875,False
2.448,1.319,0.236,0.897,False
2.436,1.291,0.209,0.917,False
2.424,1.264,0.183,0.936,False
2.412,1.236,0.157,0.952,False
2.4,1.208,0.131,0.967,False
2.388,1.181,0.105,0.978,False
2.376,1.153,0.079,0.988,False
2.364,1.125,0.052,0.995,False
2.352,1.098,0.026,0.999,False
2.34,1.07,0.0,1.0,True
2.322,1.054,0.0,0.999,False
2.303,1.039,0.0,0.997,False
2.285,1.023,0.0,0.993,False
2.267,1.007,0.0,0.987,False
2.248,0.992,0.0,0.98,False
2.23,0.976,0.0,0.971,False
2.212,0.96,0.0,0.961,False
2.193,0.945,0.0,0.95,False
2.175,0.929,0.0,0.938,False
2.157,0.913,0.0,0.925,False
2.138,0.898,0.0,0.911,False
2.12,0.882,0.0,0.896,False
2.102,0.866,0.0,0.881,False
2.083,0.851,0.0,0.866,False
2.065,0.835,0.0,0.85,False
2.047,0.819,0.0,0.834,False
2.028,0.804,0.0,0.819,False
2.01,0.788,0.0,0.804,False
1.992,0.772,0.0,0.789,False
1.973,0.757,0.0,0.775,False
1.955,0.741,0.0,0.762,False
1.937,0.725,0.0,0.75,False
1.918,0.71,0.0,0.739,False
1.9,0.694,0.0,0.729,False
1.882,0.678,0.0,0.72,False
1.863,0.663,0.0,0.713,False
1.845,0.647,0.0,0.707,False
1.827,0.631,0.0,0.703,False
1.808,0.616,0.0,0.701,False
1.79,0.6,0.0,0.7,True
1.758,0.6,0.0,0.698,False
1.725,0.6,0.0,0.692,False
1.693,0.6,0.0,0.683,False
1.661,0.6,0.0,0.67,False
1.628,0.6,0.0,0.654,False
1.596,0.6,0.0,0.634,False
1.564,0.6,0.0,0.611,False
1.531,0.6,0.0,0.586,False
1.499,0.6,0.0,0.558,False
1.467,0.6,0.0,0.527,False
1.434,0.6,0.0,0.495,False
1.402,0.6,0.0,0.462,False
1.37,0.6,0.0,0.427,False
1.337,0.6,0.0,0.391,False
1.305,0.6,0.0,0.355,False
1.273,0.6,0.0,0.319,False
1.24,0.6,0.0,0.283,False
1.208,0.6,0.0,0.248,False
1.176,0.6,0.0,0.215,False
1.143,0.6,0.0,0.183,False
1.111,0.6,0.0,0.152,False
1.079,0.6,0.0,0.124,False
1.046,0.6,0.0,0.099,False
1.014,0.6,0.0,0.076,False
0.982,0.6,0.0,0.056,False
0.949,0.6,0.0,0.04,False
0.917,0.6,0.0,0.027,False
0.885,0.6,0.0,0.018,False
0.852,0.6,0.0,0.012,False
0.82,0.6,0.0,0.01,True
