X,Y,yaw,velocity,readable
0.835,0.6,0.0,0.2,True
0.874,0.603,0.0,0.201,False
0.913,0.605,0.0,0.203,False
0.952,0.608,0.0,0.207,False
0.992,0.611,0.0,0.213,False
1.031,0.613,0.0,0.22,False
1.07,0.616,0.0,0.229,False
1.109,0.619,0.0,0.239,False
1.148,0.621,0.0,0.25,False
1.188,0.624,0.0,0.262,False
1.227,0.627,0.0,0.275,False
1.266,0.629,0.0,0.289,False
1.305,0.632,0.0,0.304,False
1.344,0.635,0.0,0.319,False
1.383,0.637,0.0,0.334,False
1.422,0.64,0.0,0.35,False
1.462,0.643,0.0,0.366,False
1.501,0.645,0.0,0.381,False
1.54,0.648,0.0,0.396,False
1.579,0.651,0.0,0.411,False
1.618,0.653,0.0,0.425,False
1.657,0.656,0.0,0.438,False
1.697,0.659,0.0,0.45,False
1.736,0.661,0.0,0.461,False
1.775,0.664,0.0,0.471,False
1.814,0.667,0.0,0.48,False
1.853,0.669,0.0,0.487,False
1.892,0.672,0.0,0.493,False
1.932,0.675,0.0,0.497,False
1.971,0.677,0.0,0.499,False
2.01,0.68,0.0,0.5,True
2.122,0.704,0.0,0.5,False
2.235,0.729,0.0,0.5,False
2.347,0.753,0.0,0.5,False
2.459,0.777,0.0,0.5,False
2.572,0.802,0.0,0.5,False
2.684,0.826,0.0,0.5,False
2.796,0.85,0.0,0.5,False
2.909,0.875,0.0,0.5,False
3.021,0.899,0.0,0.5,False
3.133,0.923,0.0,0.5,False
3.246,0.948,0.0,0.5,False
3.358,0.972,0.0,0.5,False
3.47,0.996,0.0,0.5,False
3.583,1.021,0.0,0.5,False
3.695,1.045,0.0,0.5,False
3.807,1.069,0.0,0.5,False
3.92,1.094,0.0,0.5,False
4.032,1.118,0.0,0.5,False
4.144,1.142,0.0,0.5,False
4.257,1.167,0.0,0.5,False
4.369,1.191,0.0,0.5,False
4.481,1.215,0.0,0.5,False
4.594,1.24,0.0,0.5,False
4.706,1.264,0.0,0.5,False
4.818,1.288,0.0,0.5,False
4.931,1.313,0.0,0.5,False
5.043,1.337,0.0,0.5,False
5.155,1.361,0.0,0.5,False
5.268,1.386,0.0,0.5,False
5.38,1.41,0.0,0.5,True
5.457,1.426,0.026,0.499,False
5.535,1.443,0.052,0.495,False
5.612,1.459,0.079,0.488,False
5.689,1.475,0.105,0.479,False
5.767,1.492,0.131,0.467,False
5.844,1.508,0.157,0.453,False
5.921,1.524,0.183,0.437,False
5.999,1.541,0.209,0.419,False
6.076,1.557,0.235,0.399,False
6.153,1.573,0.262,0.378,False
6.231,1.59,0.288,0.355,False
6.308,1.606,0.314,0.331,False
6.385,1.622,0.34,0.306,False
6.463,1.639,0.366,0.281,False
6.54,1.655,0.393,0.255,False
6.617,1.671,0.419,0.229,False
6.695,1.688,0.445,0.204,False
6.772,1.704,0.471,0.179,False
6.849,1.72,0.497,0.155,False
6.927,1.737,0.523,0.133,False
7.004,1.753,0.549,0.111,False
7.081,1.769,0.576,0.091,False
7.159,1.786,0.602,0.073,False
7.236,1.802,0.628,0.057,False
7.313,1.818,0.654,0.043,False
7.391,1.835,0.68,0.031,False
7.468,1.851,0.707,0.022,False
7.545,1.867,0.733,0.015,False
7.623,1.884,0.759,0.011,False
7.7,1.9,0.785,0.01,True
