X,Y,yaw,velocity,readable
0.835,0.6,0.0,0.2,True
0.881,0.6,0.0,0.2,False
0.926,0.6,0.0,0.199,False
0.972,0.6,0.0,0.198,False
1.017,0.6,0.0,0.196,False
1.063,0.6,0.0,0.193,False
1.108,0.6,0.0,0.19,False
1.154,0.6,0.0,0.187,False
1.199,0.6,0.0,0.183,False
1.245,0.6,0.0,0.179,False
1.29,0.6,0.0,0.175,False
1.336,0.6,0.0,0.17,False
1.381,0.6,0.0,0.165,False
1.427,0.6,0.0,0.16,False
1.472,0.6,0.0,0.155,False
1.517,0.6,0.0,0.15,False
1.563,0.6,0.0,0.145,False
1.609,0.6,0.0,0.14,False
1.654,0.6,0.0,0.135,False
1.7,0.6,0.0,0.13,False
1.745,0.6,0.0,0.125,False
1.791,0.6,0.0,0.121,False
1.836,0.6,0.0,0.117,False
1.882,0.6,0.0,0.113,False
1.927,0.6,0.0,0.11,False
1.973,0.6,0.0,0.107,False
2.018,0.6,0.0,0.104,False
2.064,0.6,0.0,0.102,False
2.109,0.6,0.0,0.101,False
2.155,0.6,0.0,0.1,False
2.2,0.6,0.0,0.1,True
2.2,0.62,0.0,0.101,False
2.2,0.64,0.0,0.103,False
2.2,0.66,0.0,0.107,False
2.2,0.68,0.0,0.113,False
2.2,0.7,0.0,0.12,False
2.2,0.72,0.0,0.129,False
2.2,0.74,0.0,0.139,False
2.2,0.76,0.0,0.15,False
2.2,0.78,0.0,0.162,False
2.2,0.8,0.0,0.175,False
2.2,0.82,0.0,0.189,False
2.2,0.84,0.0,0.204,False
2.2,0.86,0.0,0.219,False
2.2,0.88,0.0,0.234,False
2.2,0.9,0.0,0.25,False
2.2,0.92,0.0,0.266,False
2.2,0.94,0.0,0.281,False
2.2,0.96,0.0,0.296,False
2.2,0.98,0.0,0.311,False
2.2,1.0,0.0,0.325,False
2.2,1.02,0.0,0.338,False
2.2,1.04,0.0,0.35,False
2.2,1.06,0.0,0.361,False
2.2,1.08,0.0,0.371,False
2.2,1.1,0.0,0.38,False
2.2,1.12,0.0,0.387,False
2.2,1.14,0.0,0.393,False
2.2,1.16,0.0,0.397,False
2.2,1.18,0.0,0.399,False
2.2,1.2,0.0,0.4,True
2.2,1.223,0.0,0.4,False
2.2,1.247,0.0,0.401,False
2.2,1.27,0.0,0.402,False
2.2,1.293,0.0,0.404,False
2.2,1.317,0.0,0.407,False
2.2,1.34,0.0,0.41,False
2.2,1.363,0.0,0.413,False
2.2,1.387,0.0,0.417,False
2.2,1.41,0.0,0.421,False
2.2,1.433,0.0,0.425,False
2.2,1.457,0.0,0.43,False
2.2,1.48,0.0,0.435,False
2.2,1.503,0.0,0.44,False
2.2,1.527,0.0,0.445,False
2.2,1.55,0.0,0.45,False
2.2,1.573,0.0,0.455,False
2.2,1.597,0.0,0.46,False
2.2,1.62,0.0,0.465,False
2.2,1.643,0.0,0.47,False
2.2,1.667,0.0,0.475,False
2.2,1.69,0.0,0.479,False
2.2,1.713,0.0,0.483,False
2.2,1.737,0.0,0.487,False
2.2,1.76,0.0,0.49,False
2.2,1.783,0.0,0.493,False
2.2,1.807,0.0,0.496,False
2.2,1.83,0.0,0.498,False
2.2,1.853,0.0,0.499,False
2.2,1.877,0.0,0.5,False
2.2,1.9,0.0,0.5,True
2.277,1.9,0.0,0.501,False
2.353,1.9,0.0,0.503,False
2.43,1.9,0.0,0.506,False
2.507,1.9,0.0,0.511,False
2.583,1.9,0.0,0.517,False
2.66,1.9,0.0,0.524,False
2.737,1.9,0.0,0.532,False
2.813,1.9,0.0,0.541,False
2.89,1.9,0.0,0.552,False
2.967,1.9,0.0,0.562,False
3.043,1.9,0.0,0.574,False
3.12,1.9,0.0,0.586,False
3.197,1.9,0.0,0.599,False
3.273,1.9,0.0,0.612,False
3.35,1.9,0.0,0.625,False
3.427,1.9,0.0,0.638,False
3.503,1.9,0.0,0.651,False
3.58,1.9,0.0,0.664,False
3.657,1.9,0.0,0.676,False
3.733,1.9,0.0,0.688,False
3.81,1.9,0.0,0.698,False
3.887,1.9,0.0,0.709,False
3.963,1.9,0.0,0.718,False
4.04,1.9,0.0,0.726,False
4.117,1.9,0.0,0.733,False
4.193,1.9,0.0,0.739,False
4.27,1.9,0.0,0.744,False
4.347,1.9,0.0,0.747,False
4.423,1.9,0.0,0.749,False
4.5,1.9,0.0,0.75,True
4.598,1.859,0.026,0.748,False
4.697,1.819,0.052,0.742,False
4.795,1.778,0.078,0.732,False
4.893,1.737,0.105,0.718,False
4.992,1.697,0.131,0.7,False
5.09,1.656,0.157,0.679,False
5.188,1.615,0.183,0.655,False
5.287,1.575,0.209,0.628,False
5.385,1.534,0.235,0.597,False
5.483,1.493,0.262,0.565,False
5.582,1.453,0.288,0.53,False
5.68,1.412,0.314,0.494,False
5.778,1.371,0.34,0.457,False
5.877,1.331,0.366,0.419,False
5.975,1.29,0.392,0.38,False
6.073,1.249,0.419,0.341,False
6.172,1.209,0.445,0.303,False
6.27,1.168,0.471,0.266,False
6.368,1.127,0.497,0.23,False
6.467,1.087,0.523,0.195,False
6.565,1.046,0.549,0.163,False
6.663,1.005,0.576,0.132,False
6.762,0.965,0.602,0.105,False
6.86,0.924,0.628,0.081,False
6.958,0.883,0.654,0.06,False
7.057,0.843,0.68,0.042,False
7.155,0.802,0.706,0.028,False
7.253,0.761,0.733,0.018,False
7.352,0.721,0.759,0.012,False
7.45,0.68,0.785,0.01,True
