X,Y,yaw,velocity,readable
0.835,0.6,0.0,0.5,True
0.841,0.6,0.0,0.5,False
0.847,0.6,0.0,0.5,False
0.852,0.6,0.0,0.5,False
0.858,0.6,0.0,0.5,False
0.864,0.6,0.0,0.5,False
0.87,0.6,0.0,0.5,False
0.876,0.6,0.0,0.5,False
0.882,0.6,0.0,0.5,False
0.887,0.6,0.0,0.5,False
0.893,0.6,0.0,0.5,False
0.899,0.6,0.0,0.5,False
0.905,0.6,0.0,0.5,False
0.911,0.6,0.0,0.5,False
0.917,0.6,0.0,0.5,False
0.922,0.6,0.0,0.5,False
0.928,0.6,0.0,0.5,False
0.934,0.6,0.0,0.5,False
0.94,0.6,0.0,0.5,False
0.946,0.6,0.0,0.5,False
0.952,0.6,0.0,0.5,False
0.957,0.6,0.0,0.5,False
0.963,0.6,0.0,0.5,False
0.969,0.6,0.0,0.5,False
0.975,0.6,0.0,0.5,False
0.981,0.6,0.0,0.5,False
0.986,0.6,0.0,0.5,False
0.992,0.6,0.0,0.5,False
0.998,0.6,0.0,0.5,False
1.004,0.6,0.0,0.5,False
1.01,0.6,0.0,0.5,False
1.016,0.6,0.0,0.5,False
1.021,0.6,0.0,0.5,False
1.027,0.6,0.0,0.5,False
1.033,0.6,0.0,0.5,False
1.039,0.6,0.0,0.5,False
1.045,0.6,0.0,0.5,False
1.051,0.6,0.0,0.5,False
1.056,0.6,0.0,0.5,False
1.062,0.6,0.0,0.5,False
1.068,0.6,0.0,0.5,False
1.074,0.6,0.0,0.5,False
1.08,0.6,0.0,0.5,False
1.085,0.6,0.0,0.5,False
1.091,0.6,0.0,0.5,False
1.097,0.6,0.0,0.5,False
1.103,0.6,0.0,0.5,False
1.109,0.6,0.0,0.5,False
1.115,0.6,0.0,0.5,False
1.12,0.6,0.0,0.5,False
1.126,0.6,0.0,0.5,False
1.132,0.6,0.0,0.5,False
1.138,0.6,0.0,0.5,False
1.144,0.6,0.0,0.5,False
1.15,0.6,0.0,0.5,False
1.155,0.6,0.0,0.5,False
1.161,0.6,0.0,0.5,False
1.167,0.6,0.0,0.5,False
1.173,0.6,0.0,0.5,False
1.179,0.6,0.0,0.5,False
1.184,0.6,0.0,0.5,False
1.19,0.6,0.0,0.5,False
1.196,0.6,0.0,0.5,False
1.202,0.6,0.0,0.5,False
1.208,0.6,0.0,0.5,False
1.214,0.6,0.0,0.5,False
1.219,0.6,0.0,0.5,False
1.225,0.6,0.0,0.5,False
1.231,0.6,0.0,0.5,False
1.237,0.6,0.0,0.5,False
1.243,0.6,0.0,0.5,False
1.249,0.6,0.0,0.5,False
1.254,0.6,0.0,0.5,False
1.26,0.6,0.0,0.5,False
1.266,0.6,0.0,0.5,False
1.272,0.6,0.0,0.5,False
1.278,0.6,0.0,0.5,False
1.284,0.6,0.0,0.5,False
1.289,0.6,0.0,0.5,False
1.295,0.6,0.0,0.5,False
1.301,0.6,0.0,0.5,False
1.307,0.6,0.0,0.5,False
1.313,0.6,0.0,0.5,False
1.318,0.6,0.0,0.5,False
1.324,0.6,0.0,0.5,False
1.33,0.6,0.0,0.5,False
1.336,0.6,0.0,0.5,False
1.342,0.6,0.0,0.5,False
1.348,0.6,0.0,0.5,False
1.353,0.6,0.0,0.5,False
1.359,0.6,0.0,0.5,False
1.365,0.6,0.0,0.5,False
1.371,0.6,0.0,0.5,False
1.377,0.6,0.0,0.5,False
1.383,0.6,0.0,0.5,False
1.388,0.6,0.0,0.5,False
1.394,0.6,0.0,0.5,False
1.4,0.6,0.0,0.5,False
1.406,0.6,0.0,0.5,False
1.412,0.6,0.0,0.5,False
1.417,0.6,0.0,0.5,False
1.423,0.6,0.0,0.5,False
1.429,0.6,0.0,0.5,False
1.435,0.6,0.0,0.5,False
1.441,0.6,0.0,0.5,False
1.447,0.6,0.0,0.5,False
1.452,0.6,0.0,0.5,False
1.458,0.6,0.0,0.5,False
1.464,0.6,0.0,0.5,False
1.47,0.6,0.0,0.5,False
1.476,0.6,0.0,0.5,False
1.482,0.6,0.0,0.5,False
1.487,0.6,0.0,0.5,False
1.493,0.6,0.0,0.5,False
1.499,0.6,0.0,0.5,False
1.505,0.6,0.0,0.5,False
1.511,0.6,0.0,0.5,False
1.517,0.6,0.0,0.5,False
1.522,0.6,0.0,0.5,False
1.528,0.6,0.0,0.5,False
1.534,0.6,0.0,0.5,False
1.54,0.6,0.0,0.5,False
1.546,0.6,0.0,0.5,False
1.551,0.6,0.0,0.5,False
1.557,0.6,0.0,0.5,False
1.563,0.6,0.0,0.5,False
1.569,0.6,0.0,0.5,False
1.575,0.6,0.0,0.5,False
1.581,0.6,0.0,0.5,False
1.586,0.6,0.0,0.5,False
1.592,0.6,0.0,0.5,False
1.598,0.6,0.0,0.5,False
1.604,0.6,0.0,0.5,False
1.61,0.6,0.0,0.5,False
1.616,0.6,0.0,0.5,False
1.621,0.6,0.0,0.5,False
1.627,0.6,0.0,0.5,False
1.633,0.6,0.0,0.5,False
1.639,0.6,0.0,0.5,False
1.645,0.6,0.0,0.5,False
1.651,0.6,0.0,0.5,False
1.656,0.6,0.0,0.5,False
1.662,0.6,0.0,0.5,False
1.668,0.6,0.0,0.5,False
1.674,0.6,0.0,0.5,False
1.68,0.6,0.0,0.5,False
1.685,0.6,0.0,0.5,False
1.691,0.6,0.0,0.5,False
1.697,0.6,0.0,0.5,False
1.703,0.6,0.0,0.5,False
1.709,0.6,0.0,0.5,False
1.715,0.6,0.0,0.5,False
1.72,0.6,0.0,0.5,False
1.726,0.6,0.0,0.5,False
1.732,0.6,0.0,0.5,False
1.738,0.6,0.0,0.5,False
1.744,0.6,0.0,0.5,False
1.75,0.6,0.0,0.5,False
1.755,0.6,0.0,0.5,False
1.761,0.6,0.0,0.5,False
1.767,0.6,0.0,0.5,False
1.773,0.6,0.0,0.5,False
1.779,0.6,0.0,0.5,False
1.784,0.6,0.0,0.5,False
1.79,0.6,0.0,0.5,False
1.796,0.6,0.0,0.5,False
1.802,0.6,0.0,0.5,False
1.808,0.6,0.0,0.5,False
1.814,0.6,0.0,0.5,False
1.819,0.6,0.0,0.5,False
1.825,0.6,0.0,0.5,False
1.831,0.6,0.0,0.5,False
1.837,0.6,0.0,0.5,False
1.843,0.6,0.0,0.5,False
1.849,0.6,0.0,0.5,False
1.854,0.6,0.0,0.5,False
1.86,0.6,0.0,0.5,False
1.866,0.6,0.0,0.5,False
1.872,0.6,0.0,0.5,False
1.878,0.6,0.0,0.5,False
1.883,0.6,0.0,0.5,False
1.889,0.6,0.0,0.5,False
1.895,0.6,0.0,0.5,False
1.901,0.6,0.0,0.5,False
1.907,0.6,0.0,0.5,False
1.913,0.6,0.0,0.5,False
1.918,0.6,0.0,0.5,False
1.924,0.6,0.0,0.5,False
1.93,0.6,0.0,0.5,False
1.936,0.6,0.0,0.5,False
1.942,0.6,0.0,0.5,False
1.948,0.6,0.0,0.5,False
1.953,0.6,0.0,0.5,False
1.959,0.6,0.0,0.5,False
1.965,0.6,0.0,0.5,False
1.971,0.6,0.0,0.5,False
1.977,0.6,0.0,0.5,False
1.983,0.6,0.0,0.5,False
1.988,0.6,0.0,0.5,False
1.994,0.6,0.0,0.5,False
2.0,0.6,0.0,0.5,True
2.005,0.6,0.0,0.5,False
2.01,0.6,0.0,0.5,False
2.015,0.6,0.0,0.5,False
2.02,0.6,0.0,0.5,False
2.025,0.6,0.0,0.5,False
2.03,0.6,0.0,0.5,False
2.035,0.6,0.0,0.501,False
2.04,0.6,0.0,0.501,False
2.045,0.6,0.0,0.501,False
2.05,0.6,0.0,0.501,False
2.055,0.6,0.0,0.501,False
2.06,0.6,0.0,0.502,False
2.065,0.6,0.0,0.502,False
2.07,0.6,0.0,0.502,False
2.075,0.6,0.0,0.503,False
2.08,0.6,0.0,0.503,False
2.085,0.6,0.0,0.504,False
2.09,0.6,0.0,0.504,False
2.095,0.6,0.0,0.504,False
2.1,0.6,0.0,0.505,False
2.105,0.6,0.0,0.505,False
2.11,0.6,0.0,0.506,False
2.115,0.6,0.0,0.506,False
2.12,0.6,0.0,0.507,False
2.125,0.6,0.0,0.508,False
2.13,0.6,0.0,0.508,False
2.135,0.6,0.0,0.509,False
2.14,0.6,0.0,0.51,False
2.145,0.6,0.0,0.51,False
2.15,0.6,0.0,0.511,False
2.155,0.6,0.0,0.512,False
2.16,0.6,0.0,0.512,False
2.165,0.6,0.0,0.513,False
2.17,0.6,0.0,0.514,False
2.175,0.6,0.0,0.515,False
2.18,0.6,0.0,0.516,False
2.185,0.6,0.0,0.516,False
2.19,0.6,0.0,0.517,False
2.195,0.6,0.0,0.518,False
2.2,0.6,0.0,0.519,False
2.205,0.6,0.0,0.52,False
2.21,0.6,0.0,0.521,False
2.215,0.6,0.0,0.522,False
2.22,0.6,0.0,0.523,False
2.225,0.6,0.0,0.524,False
2.23,0.6,0.0,0.525,False
2.235,0.6,0.0,0.526,False
2.24,0.6,0.0,0.527,False
2.245,0.6,0.0,0.528,False
2.25,0.6,0.0,0.529,False
2.255,0.6,0.0,0.53,False
2.26,0.6,0.0,0.532,False
2.265,0.6,0.0,0.533,False
2.27,0.6,0.0,0.534,False
2.275,0.6,0.0,0.535,False
2.28,0.6,0.0,0.536,False
2.285,0.6,0.0,0.537,False
2.29,0.6,0.0,0.539,False
2.295,0.6,0.0,0.54,False
2.3,0.6,0.0,0.541,False
2.305,0.6,0.0,0.542,False
2.31,0.6,0.0,0.544,False
2.315,0.6,0.0,0.545,False
2.32,0.6,0.0,0.546,False
2.325,0.6,0.0,0.548,False
2.33,0.6,0.0,0.549,False
2.335,0.6,0.0,0.55,False
2.34,0.6,0.0,0.552,False
2.345,0.6,0.0,0.553,False
2.35,0.6,0.0,0.555,False
2.355,0.6,0.0,0.556,False
2.36,0.6,0.0,0.557,False
2.365,0.6,0.0,0.559,False
2.37,0.6,0.0,0.56,False
2.375,0.6,0.0,0.562,False
2.38,0.6,0.0,0.563,False
2.385,0.6,0.0,0.565,False
2.39,0.6,0.0,0.566,False
2.395,0.6,0.0,0.568,False
2.4,0.6,0.0,0.569,False
2.405,0.6,0.0,0.571,False
2.41,0.6,0.0,0.572,False
2.415,0.6,0.0,0.574,False
2.42,0.6,0.0,0.575,False
2.425,0.6,0.0,0.577,False
2.43,0.6,0.0,0.578,False
2.435,0.6,0.0,0.58,False
2.44,0.6,0.0,0.581,False
2.445,0.6,0.0,0.583,False
2.45,0.6,0.0,0.584,False
2.455,0.6,0.0,0.586,False
2.46,0.6,0.0,0.587,False
2.465,0.6,0.0,0.589,False
2.47,0.6,0.0,0.591,False
2.475,0.6,0.0,0.592,False
2.48,0.6,0.0,0.594,False
2.485,0.6,0.0,0.595,False
2.49,0.6,0.0,0.597,False
2.495,0.6,0.0,0.598,False
2.5,0.6,0.0,0.6,False
2.505,0.6,0.0,0.602,False
2.51,0.6,0.0,0.603,False
2.515,0.6,0.0,0.605,False
2.52,0.6,0.0,0.606,False
2.525,0.6,0.0,0.608,False
2.53,0.6,0.0,0.609,False
2.535,0.6,0.0,0.611,False
2.54,0.6,0.0,0.613,False
2.545,0.6,0.0,0.614,False
2.55,0.6,0.0,0.616,False
2.555,0.6,0.0,0.617,False
2.56,0.6,0.0,0.619,False
2.565,0.6,0.0,0.62,False
2.57,0.6,0.0,0.622,False
2.575,0.6,0.0,0.623,False
