X,Y,yaw,velocity,readable
2.7,7.7,5.757,0.2,True
2.694,7.666,5.674,0.205,False
2.678,7.623,5.591,0.21,False
2.652,7.574,5.508,0.215,False
2.62,7.518,5.425,0.22,False
2.583,7.456,5.342,0.225,False
2.542,7.39,5.259,0.23,False
2.501,7.321,5.175,0.235,False
2.46,7.249,5.092,0.24,False
2.422,7.175,5.009,0.245,False
2.388,7.1,4.926,0.25,False
2.36,7.025,4.843,0.255,False
2.34,6.951,4.76,0.26,False
2.33,6.879,4.677,0.265,False
2.333,6.81,4.594,0.27,False
2.348,6.744,4.511,0.275,False
2.38,6.682,4.428,0.28,False
2.429,6.626,4.345,0.285,False
2.498,6.577,4.262,0.29,False
2.587,6.534,4.178,0.295,False
2.7,6.5,4.095,0.3,True
2.7,6.5,4.012,0.3,False
2.843,6.471,3.929,0.3,False
3.02,6.446,3.846,0.3,False
3.227,6.423,3.763,0.3,False
3.46,6.404,3.68,0.3,False
3.716,6.388,3.597,0.3,False
3.99,6.374,3.514,0.3,False
4.279,6.364,3.431,0.3,False
4.58,6.356,3.348,0.3,False
4.888,6.351,3.265,0.3,False
5.2,6.35,3.182,0.3,False
5.512,6.351,3.098,0.3,False
5.82,6.356,3.015,0.3,False
6.121,6.364,2.932,0.3,False
6.41,6.374,2.849,0.3,False
6.684,6.388,2.766,0.3,False
6.94,6.404,2.683,0.3,False
7.173,6.423,2.6,0.3,False
7.38,6.446,2.517,0.3,False
7.557,6.471,2.434,0.3,False
7.7,6.5,2.351,0.3,True
7.7,6.5,2.268,0.3,False
7.813,6.534,2.185,0.286,False
7.902,6.577,2.102,0.272,False
7.971,6.626,2.018,0.258,False
8.02,6.682,1.935,0.244,False
8.052,6.744,1.852,0.23,False
8.067,6.81,1.769,0.216,False
8.07,6.879,1.686,0.202,False
8.06,6.951,1.603,0.188,False
8.04,7.025,1.52,0.174,False
8.012,7.1,1.437,0.16,False
7.978,7.175,1.354,0.146,False
7.94,7.249,1.271,0.132,False
7.899,7.321,1.188,0.118,False
7.857,7.39,1.105,0.104,False
7.817,7.456,1.021,0.09,False
7.78,7.518,0.938,0.076,False
7.748,7.574,0.855,0.062,False
7.723,7.623,0.772,0.048,False
7.706,7.666,0.689,0.034,False
7.7,7.7,0.523,0.02,True
